Target,Output,Diff
1.08,3.5379627,-2.4579625
1.19,3.4321766,-2.2421765
1.5999999,3.8306606,-2.2306607
0.684,4.294309,-3.6103091
0.93,3.5892339,-2.6592338
2.0,3.6135821,-1.6135821
2.0,3.4762983,-1.4762983
1.285,4.422434,-3.137434
1.71,4.3933687,-2.6833687
1.954,4.716502,-2.7625022
1.61,4.264668,-2.6546679
2.5066667,4.643523,-2.1368566
0.9462069,4.925377,-3.9791698
1.5866667,4.61445,-3.0277834
1.1383333,4.6294494,-3.491116
3.0,4.4995856,-1.4995856
2.0,4.3998957,-2.3998957
1.6858333,4.2586393,-2.572806
2.0741668,4.102789,-2.0286222
3.1525002,4.3188534,-1.1663532
0.56,4.971324,-4.411324
1.2138983,4.9367013,-3.722803
2.4341667,4.384053,-1.9498866
1.4366667,4.33929,-2.9026234
5.0,4.569445,0.43055487
2.0,4.269289,-2.269289
4.3527193,4.611006,-0.25828648
3.2207825,4.789887,-1.5691044
4.867063,4.692264,0.17479897
3.472544,5.5585136,-2.0859697
2.01,4.6308746,-2.6208746
1.991111,4.598295,-2.6071842
2.635,4.563526,-1.9285262
4.235833,4.8724914,-0.6366582
1.2977778,5.608497,-4.3107195
1.6582353,5.519736,-3.8615005
3.2141666,4.802864,-1.5886974
1.8066667,4.860899,-3.0542321
7.0,4.89966,2.10034
2.0,4.5845623,-2.5845623
3.776,4.075821,-0.2998209
2.968421,4.2878866,-1.3194656
4.777973,4.053213,0.72476006
3.7391665,4.983057,-1.2438905
1.8158333,4.038177,-2.2223437
1.69,4.2115054,-2.5215054
2.458,4.154844,-1.6968439
2.75,4.457522,-1.7075219
3.5583332,4.2007823,-0.64244914
1.0166667,4.982664,-3.9659975
1.5096492,4.8728724,-3.363223
2.6241665,4.10545,-1.4812837
1.4203391,4.152679,-2.7323399
5.0,4.254306,0.74569416
2.0,4.012334,-2.0123339
1.5966667,4.5771685,-2.9805017
2.12,4.66433,-2.5443301
2.225,4.4692473,-2.2442474
1.58,4.8263655,-3.2463655
3.5225,4.7552447,-1.2327447
1.3612499,5.074529,-3.7132792
1.2836001,5.0907288,-3.8071287
2.8069232,4.569113,-1.7621896
5.0,4.5674458,0.43255424
2.0,4.549269,-2.5492692
2.05,4.9307547,-2.8807547
2.2541666,4.9117208,-2.6575541
3.6558332,5.2740297,-1.6181965
1.6310345,5.5462255,-3.9151912
2.9533334,5.0729017,-2.1195683
5.0,5.069427,-0.06942701
2.0,4.8978453,-2.8978453
2.1866667,4.735103,-2.5484364
2.8224998,4.7924,-1.9699001
3.8125,4.939746,-1.1272459
1.6221311,5.400954,-3.7788227
3.3341668,4.7567964,-1.4226296
8.0,4.88772,3.11228
3.0,4.6919518,-1.6919518
2.3591666,5.1743693,-2.8152027
3.11,5.087545,-1.977545
3.82,5.283268,-1.463268
1.7,5.586482,-3.886482
3.1608334,5.3823133,-2.22148
6.0,5.375868,0.62413216
5.0,5.1871347,-0.18713474
3.4225,5.6799364,-2.2574365
2.9325,5.5945992,-2.6620994
4.2483335,5.906702,-1.6583686
1.9643333,6.1277924,-4.163459
3.5808334,6.1199374,-2.539104
6.0,5.9688234,0.031176567
2.0,5.6745048,-3.6745048
2.118182,5.3918276,-3.2736456
2.499091,5.302982,-2.803891
2.06,5.7663784,-3.7063785
3.009091,5.489223,-2.480132
1.580678,5.7626076,-4.1819296
2.5066667,5.560176,-3.0535092
4.0,5.552439,-1.5524392
2.0,5.3934455,-3.3934455
3.44,5.341592,-1.9015918
3.3481817,5.4644866,-2.1163049
1.6668333,5.860058,-4.1932244
3.5525,5.435838,-1.8833382
6.0,5.5961013,0.40389872
2.0,5.427544,-3.427544
3.4,6.494808,-3.094808
3.382857,6.3892226,-3.0063655
3.2624998,6.8036985,-3.5411987
1.9416666,6.6311316,-4.689465
2.9651852,6.7389445,-3.7737594
4.3083334,6.599638,-2.2913046
7.0,6.5640783,0.43592167
2.0,6.4945183,-4.4945183
3.6750002,6.7038918,-3.0288916
2.6061666,6.9016304,-4.2954636
4.181667,6.578931,-2.397264
9.0,6.7262745,2.2737255
9.0,6.672595,2.327405
4.0245457,6.385043,-2.3604975
5.51,6.8199606,-1.3099604
2.42,7.246891,-4.826891
3.7233927,7.323926,-3.6005332
3.7681818,6.0941834,-2.3260016
9.0,6.7726827,2.2273173
11.0,6.4530783,4.5469217
2.8799999,5.852462,-2.972462
3.75,6.251724,-2.5017238
2.1148334,6.0792284,-3.964395
2.8141665,6.158887,-3.3447204
6.0,6.113376,-0.11337614
11.0,5.8836784,5.1163216
2.7883334,5.257631,-2.4692974
2.04,5.9512243,-3.9112244
1.8611865,5.786153,-3.9249663
2.5741668,5.297947,-2.7237802
5.0,5.361504,-0.36150408
9.0,5.212918,3.7870822
2.7975,5.289446,-2.491946
2.0083334,5.73545,-3.7271163
2.8241668,5.5766983,-2.7525315
4.0,5.5903854,-1.5903854
10.0,5.372864,4.627136
3.1799998,5.006401,-1.8264012
2.867,4.8231363,-1.9561362
1.48,5.294799,-3.8147988
1.94,5.537617,-3.5976171
2.1799998,5.697615,-3.5176153
1.9439623,5.428217,-3.4842546
2.8433332,4.8177953,-1.974462
5.0,5.1654654,-0.16546535
8.0,4.869027,3.1309729
1.7408334,3.9323187,-2.1914854
1.3461018,4.6225185,-3.2764168
1.7163635,3.955669,-2.2393055
2.0,4.0256925,-2.0256925
9.0,4.0128584,4.9871416
1.377647,5.0744123,-3.6967654
1.579762,5.099959,-3.520197
1.9875001,4.6206207,-2.6331205
3.0,4.530639,-1.5306392
7.0,4.451125,2.5488749
1.312353,5.2821965,-3.9698434
1.7900001,5.3686104,-3.5786104
1.2966667,5.174815,-3.8781486
4.0,4.9183183,-0.9183183
7.0,4.9176173,2.0823827
1.2553333,5.1717854,-3.916452
4.0,4.8292723,-0.8292723
6.0,4.540927,1.4590731
1.1428814,4.8882036,-3.7453222
3.0,4.295118,-1.2951179
5.0,4.1611686,0.8388314
1.07,4.123231,-3.0532308
2.14,4.4699945,-2.3299944
0.8333334,4.629448,-3.7961144
1.15,4.029813,-2.8798127
2.0,4.168493,-2.1684928
3.0,4.0978627,-1.0978627
1.165,3.9303157,-2.7653158
2.075,4.182124,-2.107124
0.7845,4.615411,-3.8309107
1.2816666,3.9629698,-2.681303
1.2049999,4.168212,-2.963212
2.0,3.9555569,-1.9555569
3.0,3.904928,-0.90492797
0.97999996,3.8304257,-2.8504257
1.9625001,3.8373446,-1.8748446
1.2266667,4.320838,-3.0941713
0.7508928,4.3691106,-3.6182177
1.3433332,3.8460624,-2.5027292
1.0166667,3.8475988,-2.8309321
2.0,3.956334,-1.9563341
4.0,3.820417,0.17958307
1.62,4.16472,-2.5447202
0.905,4.1255593,-3.2205594
2.0774999,4.1041884,-2.0266886
1.225,5.002536,-3.777536
0.7003448,4.885538,-4.185193
1.265,4.0980606,-2.8330607
1.1633334,4.061009,-2.8976755
2.0,4.240306,-2.240306
2.0,4.0732746,-2.0732746
1.1583333,3.8988295,-2.7404962
2.4858334,4.1706696,-1.6848361
0.9616667,4.5316834,-3.5700169
1.5972728,3.9436996,-2.346427
1.1433333,4.134325,-2.9909916
2.0,3.980239,-1.9802389
2.0,3.8387198,-1.8387198
1.3163637,3.9368525,-2.6204886
2.2783332,4.179054,-1.9007206
0.87983334,4.6983027,-3.8184695
1.4300001,3.9654808,-2.5354807
1.215,4.1582627,-2.9432626
3.0,3.9738808,-0.97388077
2.0,3.8931618,-1.8931618
0.83183336,4.6517286,-3.8198953
1.3858333,3.9363124,-2.5504792
0.68000007,4.2163486,-3.5363486
4.0,4.058028,-0.05802822
2.0,3.8865576,-1.8865576
1.3748333,5.554938,-4.1801043
2.7191665,5.017765,-2.2985985
7.0,5.066297,1.933703
2.0,4.9154873,-2.9154873
2.938644,6.9137344,-3.9750905
5.836667,7.0423317,-1.2056646
9.0,6.9886613,2.0113387
7.0,6.73871,0.26129007
2.898305,7.1833897,-4.2850847
4.982727,7.2010307,-2.2183037
10.0,7.0030074,2.9969926
11.0,6.7925234,4.2074766
2.7701693,6.9444294,-4.17426
9.0,6.8651986,2.1348014
10.0,6.6545844,3.3454156
2.21,5.8760777,-3.6660776
2.1284482,5.567622,-3.439174
6.0,5.2977896,0.7022104
5.0,5.104714,-0.10471392
1.965,5.529478,-3.564478
0.90000004,5.757654,-4.857654
1.4578571,5.6503034,-4.192446
4.0,5.2880497,-1.2880497
4.0,5.178287,-1.178287
1.436,5.1538095,-3.7178097
4.0,4.7784224,-0.77842236
6.0,4.708533,1.2914672
1.5155,7.367034,-5.851534
7.0,7.361909,-0.3619089
5.0,7.279726,-2.279726
1.7053332,7.3215723,-5.616239
6.0,6.909821,-0.90982103
5.0,6.555867,-1.5558672
1.1659322,5.191947,-4.026015
4.0,4.652707,-0.6527071
5.0,4.520965,0.4790349
1.3744829,5.794664,-4.4201813
5.0,5.429733,-0.4297328
2.0,5.292535,-3.2925348
1.074,4.825576,-3.751576
1.2030909,4.7852564,-3.5821655
5.0,4.3794923,0.6205077
5.0,4.130284,0.86971617
1.5088333,4.918932,-3.4100986
6.0,4.3966813,1.6033187
7.0,4.314251,2.685749
1.1204762,4.573207,-3.4527307
1.0941026,4.5753374,-3.4812348
5.0,3.9507484,1.0492516
3.0,3.8737702,-0.87377024
1.2427778,4.799938,-3.5571604
1.4133333,4.7990346,-3.3857012
4.0,4.308643,-0.30864286
2.0,4.2118316,-2.2118316
1.3476667,5.1599874,-3.8123207
4.0,4.610747,-0.61074686
3.0,4.521551,-1.5215511
1.5521052,5.1297884,-3.5776832
5.0,4.512373,0.48762703
5.0,4.3795147,0.6204853
1.57,4.2290964,-2.6590962
2.5,4.301155,-1.8011551
1.4565517,4.949475,-3.4929233
