Target,Output,Diff
1.08,1.6890448,-0.6090448
1.19,1.6849834,-0.49498332
1.5999999,2.072662,-0.4726622
0.684,3.4615018,-2.7775018
0.93,1.7765421,-0.84654206
2.0,1.8217963,0.1782037
2.0,1.6332477,0.36675227
1.285,2.6397018,-1.3547019
1.71,2.7843432,-1.0743432
1.954,2.936292,-0.98229194
1.61,2.6919456,-1.0819455
2.5066667,3.0345473,-0.52788067
0.9462069,4.1894355,-3.2432284
1.5866667,2.6757038,-1.0890371
1.1383333,2.9522429,-1.8139095
3.0,2.761548,0.23845196
2.0,2.562579,-0.5625789
1.6858333,2.5430684,-0.8572351
2.0741668,2.6775403,-0.6033735
3.1525002,2.9446764,0.20782375
0.56,4.058013,-3.498013
1.2138983,4.085781,-2.871883
2.4341667,2.534676,-0.100509405
1.4366667,2.8810215,-1.4443548
5.0,2.644459,2.355541
2.0,2.4760933,-0.4760933
4.3527193,3.8601046,0.49261475
3.2207825,4.1625094,-0.9417269
4.867063,3.9186337,0.94842935
3.472544,5.52126,-2.0487158
2.01,3.841229,-1.831229
1.991111,3.7821615,-1.7910504
2.635,3.8805285,-1.2455285
4.235833,4.2611423,-0.025309086
1.2977778,5.419387,-4.121609
1.6582353,5.437766,-3.7795308
3.2141666,3.9586048,-0.7444382
1.8066667,4.2095547,-2.4028878
7.0,4.0546503,2.9453497
2.0,3.732912,-1.7329121
3.776,3.582951,0.19304895
2.968421,3.9300575,-0.96163654
4.777973,3.460709,1.3172641
3.7391665,5.0855074,-1.3463409
1.8158333,3.52656,-1.7107267
1.69,3.6572876,-1.9672875
2.458,3.6093612,-1.1513612
2.75,3.766181,-1.016181
3.5583332,3.826428,-0.26809478
1.0166667,4.8987494,-3.8820827
1.5096492,4.940123,-3.4304738
2.6241665,3.4959383,-0.8717718
1.4203391,3.7647643,-2.3444252
5.0,3.57753,1.4224701
2.0,3.523065,-1.5230651
1.5966667,2.8040063,-1.2073396
2.12,3.0045245,-0.8845246
2.225,2.8738286,-0.64882874
1.58,3.0368466,-1.4568466
3.5225,3.152902,0.36959815
1.3612499,4.292845,-2.9315948
1.2836001,4.378151,-3.0945508
2.8069232,2.7252598,0.08166337
5.0,2.8722696,2.1277304
2.0,2.7467723,-0.7467723
2.05,2.9565573,-0.9065573
2.2541666,2.9595509,-0.70538425
3.6558332,3.3090353,0.34679794
1.6310345,4.5662327,-2.9351983
2.9533334,2.9753098,-0.021976471
5.0,2.965126,2.034874
2.0,2.9030037,-0.9030037
2.1866667,2.9908442,-0.8041775
2.8224998,3.1263602,-0.30386043
3.8125,3.3637528,0.44874716
1.6221311,4.639929,-3.0177977
3.3341668,2.9717522,0.3624146
8.0,2.9893246,5.0106754
3.0,2.9304924,0.0695076
2.3591666,3.149212,-0.79004526
3.11,3.234469,-0.12446904
3.82,3.5680878,0.25191212
1.7,4.6314955,-2.9314954
3.1608334,3.2263734,-0.065540075
6.0,3.30094,2.69906
5.0,3.0557683,1.9442317
3.4225,3.610628,-0.188128
2.9325,3.691053,-0.758553
4.2483335,4.0428104,0.20552301
1.9643333,5.092828,-3.1284945
3.5808334,3.74234,-0.16150665
6.0,3.7421122,2.2578878
2.0,3.5241323,-1.5241323
2.118182,3.2146926,-1.0965106
2.499091,3.227551,-0.7284601
2.06,3.4059772,-1.3459773
3.009091,3.5953593,-0.5862684
1.580678,4.751477,-3.1707988
2.5066667,3.169506,-0.6628394
4.0,3.3971972,0.60280275
2.0,3.1783068,-1.1783068
3.44,3.8366427,-0.39664268
3.3481817,3.8988113,-0.5506296
1.6668333,5.1800017,-3.5131683
3.5525,3.7482092,-0.19570923
6.0,4.000227,1.999773
2.0,3.8206375,-1.8206375
3.4,4.848443,-1.4484429
3.382857,4.7696323,-1.3867753
3.2624998,4.9201236,-1.6576238
1.9416666,5.921931,-3.9802642
2.9651852,5.9581785,-2.9929934
4.3083334,4.664536,-0.3562026
7.0,4.7546988,2.2453012
2.0,4.515328,-2.515328
3.6750002,4.757032,-1.0820317
2.6061666,5.9719796,-3.365813
4.181667,4.5275707,-0.34590387
9.0,4.9067235,4.0932765
9.0,4.717659,4.282341
4.0245457,5.263059,-1.2385135
