Target,Output,Diff
1.08,1.8387449,-0.75874484
1.19,1.9009215,-0.7109214
1.5999999,2.2645168,-0.6645169
0.684,3.5996437,-2.9156437
0.93,1.9659585,-1.0359585
2.0,1.9848859,0.015114069
2.0,1.796239,0.20376098
1.285,2.861114,-1.576114
1.71,3.0169206,-1.3069205
1.954,3.1867151,-1.2327151
1.61,2.912929,-1.302929
2.5066667,3.2660544,-0.75938773
0.9462069,4.347633,-3.4014258
1.5866667,2.9365158,-1.3498491
1.1383333,3.1908216,-2.0524883
3.0,2.982821,0.017179012
2.0,2.7955713,-0.7955713
1.6858333,2.6785612,-0.9927279
2.0741668,2.859943,-0.78577614
3.1525002,3.1088219,0.043678284
0.56,4.161015,-3.601015
1.2138983,4.218663,-3.004765
2.4341667,2.7203822,-0.28621554
1.4366667,3.0436068,-1.60694
5.0,2.8204117,2.1795883
2.0,2.6173978,-0.6173978
4.3527193,3.7987251,0.5539942
3.2207825,4.184971,-0.96418834
4.867063,3.9120886,0.9549744
3.472544,5.4749193,-2.0023754
2.01,3.8111048,-1.8011048
1.991111,3.7125287,-1.7214177
2.635,3.8609805,-1.2259805
4.235833,4.2298813,0.0059518814
1.2977778,5.414005,-4.116227
1.6582353,5.450448,-3.7922127
3.2141666,3.975906,-0.76173925
1.8066667,4.175036,-2.368369
7.0,3.979963,3.020037
2.0,3.6475136,-1.6475136
3.776,3.5664015,0.20959854
2.968421,3.9859672,-1.0175462
4.777973,3.5158038,1.2621694
3.7391665,5.0699615,-1.330795
1.8158333,3.4976401,-1.6818068
1.69,3.6805246,-1.9905245
2.458,3.6471019,-1.1891019
2.75,3.8065076,-1.0565076
3.5583332,3.820972,-0.2626388
1.0166667,4.867573,-3.8509061
1.5096492,4.9330087,-3.4233594
2.6241665,3.523134,-0.8989675
1.4203391,3.735272,-2.3149328
5.0,3.5375996,1.4624004
2.0,3.473036,-1.473036
1.5966667,2.9550312,-1.3583645
2.12,3.1218326,-1.0018327
2.225,3.0514007,-0.82640076
1.58,3.2240198,-1.6440197
3.5225,3.316777,0.20572305
1.3612499,4.398643,-3.037393
