Target,Output,Diff
1.08,2.1757727,-1.0957726
1.19,2.3189144,-1.1289144
1.5999999,2.5441802,-0.94418025
0.684,3.703734,-3.019734
0.93,2.524823,-1.5948229
2.0,2.13187,-0.13187003
2.0,2.0315413,-0.031541348
1.285,3.1093817,-1.8243817
1.71,3.2070959,-1.4970958
1.954,3.2871296,-1.3331296
1.61,3.394494,-1.784494
2.5066667,3.5690255,-1.0623589
0.9462069,4.3864317,-3.4402246
1.5866667,3.2247374,-1.6380707
1.1383333,3.4607196,-2.3223863
3.0,3.1762064,-0.17620635
2.0,2.9877732,-0.9877732
1.6858333,3.0048516,-1.3190182
2.0741668,3.2005405,-1.1263738
3.1525002,3.5635405,-0.4110403
0.56,4.367046,-3.807046
1.2138983,4.1973877,-2.9834895
2.4341667,3.1531632,-0.7189965
1.4366667,3.472834,-2.0361674
5.0,3.1257584,1.8742416
2.0,2.877244,-0.877244
4.3527193,4.1289606,0.2237587
3.2207825,4.1092157,-0.8884332
4.867063,4.3150945,0.5519686
3.472544,5.022285,-1.549741
2.01,3.9608526,-1.9508526
1.991111,4.021836,-2.0307248
2.635,4.068422,-1.4334219
4.235833,4.129685,0.10614824
1.2977778,4.8190494,-3.5212717
1.6582353,4.814524,-3.1562889
3.2141666,4.215005,-1.0008383
1.8066667,4.0339594,-2.2272925
7.0,3.9980474,3.0019526
2.0,3.917664,-1.917664
3.776,3.7936335,-0.017633438
2.968421,3.6469424,-0.6785214
4.777973,3.7998273,0.97814584
3.7391665,4.639396,-0.9002297
1.8158333,3.6935835,-1.8777502
1.69,3.696199,-2.006199
2.458,3.7077925,-1.2497926
2.75,3.8017619,-1.0517619
3.5583332,3.8135443,-0.2552111
1.0166667,4.5339384,-3.5172718
1.5096492,4.517775,-3.0081258
2.6241665,3.6401062,-1.0159397
1.4203391,3.67389,-2.253551
5.0,3.603443,1.3965571
2.0,3.5962412,-1.5962412
1.5966667,3.2136436,-1.6169769
2.12,3.2969573,-1.1769574
2.225,3.271367,-1.0463672
1.58,3.380372,-1.800372
3.5225,3.522429,7.104874e-05
1.3612499,4.4715,-3.11025
1.2836001,4.380825,-3.097225
2.8069232,3.3323598,-0.52543664
5.0,3.2710004,1.7289996
2.0,3.0829825,-1.0829825
2.05,3.2069688,-1.1569688
2.2541666,3.3547363,-1.1005697
3.6558332,3.636569,0.019264221
