Target,Output,Diff
1.08,2.1386151,-1.0586151
1.19,2.2886972,-1.0986972
1.5999999,2.5062423,-0.9062424
0.684,3.6629276,-2.9789276
0.93,2.4898968,-1.5598967
2.0,2.0910356,-0.091035604
2.0,2.019353,-0.019352913
1.285,3.093112,-1.808112
1.71,3.2062054,-1.4962053
1.954,3.2593193,-1.3053193
1.61,3.3444934,-1.7344934
2.5066667,3.5352132,-1.0285466
0.9462069,4.3312244,-3.3850174
1.5866667,3.203893,-1.6172262
1.1383333,3.4342372,-2.295904
3.0,3.1403635,-0.14036345
2.0,2.9763148,-0.9763148
1.6858333,3.0425858,-1.3567525
2.0741668,3.2195976,-1.1454308
3.1525002,3.5663269,-0.4138267
0.56,4.355869,-3.7958689
1.2138983,4.1797304,-2.9658322
2.4341667,3.129613,-0.69544625
1.4366667,3.4635818,-2.026915
5.0,3.1621087,1.8378913
2.0,2.9144957,-0.9144957
4.3527193,4.148269,0.20445013
3.2207825,4.1074142,-0.8866317
4.867063,4.335473,0.53159
3.472544,5.0264463,-1.5539024
2.01,3.9802442,-1.9702442
1.991111,4.0407715,-2.0496604
2.635,4.0724106,-1.4374106
4.235833,4.0988517,0.13698149
1.2977778,4.8132415,-3.5154638
1.6582353,4.7914057,-3.1331704
3.2141666,4.220327,-1.0061603
1.8066667,4.0026326,-2.1959658
7.0,3.9829373,3.0170627
2.0,3.9444394,-1.9444394
3.776,3.7172315,0.05876851
2.968421,3.6089282,-0.6405072
4.777973,3.7574978,1.0204754
3.7391665,4.6220393,-0.8828728
1.8158333,3.615274,-1.7994406
1.69,3.6221366,-1.9321365
2.458,3.713894,-1.255894
2.75,3.7397742,-0.9897742
3.5583332,3.7725105,-0.21417737
1.0166667,4.494075,-3.4774082
1.5096492,4.4693885,-2.9597392
2.6241665,3.5914588,-0.9672923
1.4203391,3.644175,-2.223836
5.0,3.550949,1.4490509
2.0,3.5196562,-1.5196562
1.5966667,3.209658,-1.6129912
2.12,3.3112617,-1.1912618
2.225,3.2229033,-0.99790335
1.58,3.3579297,-1.7779297
3.5225,3.461533,0.06096697
1.3612499,4.448253,-3.0870032
1.2836001,4.3819103,-3.0983102
2.8069232,3.2881331,-0.48121
5.0,3.235609,1.764391
2.0,3.097793,-1.0977931
2.05,3.1848738,-1.1348739
2.2541666,3.3062875,-1.0521209
3.6558332,3.5582213,0.097611904
1.6310345,4.532441,-2.9014068
2.9533334,3.3258386,-0.3725052
5.0,3.277458,1.722542
2.0,3.067401,-1.0674009
2.1866667,3.344008,-1.1573412
2.8224998,3.5107427,-0.6882429
3.8125,3.6899085,0.122591496
1.6221311,4.6957455,-3.0736144
3.3341668,3.593702,-0.2595353
8.0,3.4270816,4.5729184
