Target,Output,Diff
3.085,2.2734988,0.81150126
0.62333333,1.8780953,-1.2547619
0.63,1.9084594,-1.2784594
0.9891666,1.7097714,-0.7206048
1.2914286,1.8857274,-0.59429884
1.2025,1.2899095,-0.0874095
0.878,1.2784729,-0.40047288
0.76857144,1.4429843,-0.6744129
1.0,1.4275167,-0.4275167
4.2066665,2.9700315,1.236635
1.0645,2.6312497,-1.5667497
1.3075,2.4747589,-1.1672589
1.9791667,2.657318,-0.67815137
1.17,2.1917367,-1.0217367
1.4554546,2.2107496,-0.75529504
1.22,2.2743843,-1.0543842
1.411,2.3260114,-0.9150114
2.0,2.308167,-0.30816698
5.273333,2.7947884,2.4785447
1.7900001,2.6666317,-0.8766316
1.421356,2.597505,-1.1761491
2.11,2.5886302,-0.4786303
1.855,2.5096643,-0.6546643
2.1808333,2.4375477,-0.25671434
1.9441667,2.3156476,-0.37148094
1.6400001,2.143683,-0.50368285
1.6425,2.2134974,-0.57099736
1.3699999,2.2615004,-0.8915005
3.0,2.1998248,0.8001752
2.857826,2.8863692,-0.028543234
7.662931,2.9304364,4.7324944
1.6864035,2.8107321,-1.1243286
5.929091,3.4597719,2.469319
6.48,3.4325628,3.0474372
1.8644828,3.2322729,-1.3677901
1.5600001,3.2578273,-1.6978272
2.315,3.1680906,-0.8530905
2.9366665,3.021616,-0.08494949
2.5600002,2.839405,-0.27940488
2.47,2.7328687,-0.26286864
2.0033333,2.8308902,-0.82755685
2.1425,2.7848992,-0.6423993
4.0,2.7671342,1.2328658
2.5744443,2.3715405,0.20290375
7.678571,2.456671,5.2219
1.6812122,2.2949266,-0.61371446
6.1124997,3.1213095,2.9911902
1.7251785,2.8074708,-1.0822923
1.6725001,2.7352037,-1.0627036
1.9183333,2.6731646,-0.7548313
2.7966666,2.563683,0.23298359
2.225,2.2339244,-0.008924484
2.112,2.3539333,-0.24193335
1.6371429,2.2820961,-0.64495325
1.9,2.3334732,-0.43347323
3.0,2.3150573,0.6849427
5.6975,2.8937626,2.8037376
1.491,2.6680276,-1.1770276
2.2146153,2.587116,-0.37250066
2.12,2.4558787,-0.33587885
2.5416665,2.5515103,-0.009843826
2.2381818,2.3740883,-0.13590646
1.57,2.2819667,-0.71196663
1.5672727,2.3336208,-0.7663481
3.0,2.318473,0.6815269
5.5327272,3.070251,2.4624763
6.95,2.984406,3.9655938
1.4643334,2.7249784,-1.260645
2.225,2.574756,-0.349756
2.5549998,2.7718377,-0.21683788
2.5983334,2.2739937,0.32433963
1.7055557,2.3618653,-0.6563096
1.62,2.4508152,-0.8308152
3.0,2.427176,0.572824
5.6609087,3.3249578,2.3359509
7.11,3.2247033,3.8852968
1.842069,3.0161386,-1.1740695
1.865,3.0518155,-1.1868155
2.3899999,2.9023268,-0.51232696
2.8645456,3.0128732,-0.14832759
2.385,2.5454216,-0.16042161
1.7666667,2.5850012,-0.8183346
2.0,2.6900861,-0.6900861
3.0,2.669165,0.3308351
6.003333,3.6285348,2.3747983
2.1537254,3.4229717,-1.2692463
2.04,3.524911,-1.484911
1.9583334,3.4717166,-1.5133833
2.9641666,3.349861,-0.38569427
2.7408335,3.4253764,-0.6845429
2.4766667,3.077536,-0.6008694
2.2716668,3.1559193,-0.88425255
3.0,3.131288,-0.13128805
7.070833,3.6977096,3.3731236
2.667,3.5808241,-0.9138241
4.1975,3.5508366,0.64666367
3.5608335,3.5778534,-0.017019987
2.7533336,3.3553586,-0.60202503
3.3841667,3.3630168,0.021149874
4.0,3.3282547,0.6717453
4.8875003,3.2875748,1.5999255
2.6851785,3.030546,-0.34536743
1.9475,3.053026,-1.105526
4.08,2.9786658,1.1013341
3.7254546,2.893784,0.8316705
2.7508333,3.026157,-0.27532363
2.3216667,2.6065211,-0.2848544
2.7366667,2.7560754,-0.019408703
3.0,2.7333877,0.2666123
5.9824996,3.511933,2.4705665
3.0411863,3.3105433,-0.26935697
1.7299999,3.3494878,-1.6194879
3.02,3.2905092,-0.27050924
3.2254548,3.2048664,0.020588398
3.3641667,3.2526422,0.11152458
2.9108334,2.8950212,0.015812159
6.21,2.9540648,3.2559352
3.7963638,3.0275388,0.76882505
5.0,2.998947,2.001053
6.192,3.424592,2.767408
7.955,3.396733,4.5582666
3.4463334,3.3351517,0.111181736
3.8975,3.3414137,0.5560863
4.54,3.1095395,1.4304605
3.6266665,3.1911113,0.43555522
3.19,3.0856385,0.104361534
4.5666666,3.0193644,1.5473022
4.733333,3.0801373,1.6531959
6.0,3.0549762,2.9450238
7.038,4.59106,2.44694
9.150001,4.4877214,4.662279
7.29,4.5154457,2.7745543
3.4795,4.603957,-1.1244571
4.1549997,4.7788916,-0.62389183
3.929,4.6683493,-0.73934937
4.205,4.612888,-0.40788794
3.7816668,4.564039,-0.7823725
3.681111,4.559293,-0.8781817
3.38,4.563012,-1.183012
5.26,4.500275,0.7597251
