Target,Output,Diff
1.08,19.012024,-17.932024
1.19,20.597963,-19.407963
1.5999999,19.898796,-18.298796
0.684,15.560164,-14.876164
0.93,19.990423,-19.060423
2.0,20.450901,-18.450901
2.0,18.903044,-16.903044
1.285,20.609608,-19.324608
1.71,21.817055,-20.107056
1.954,21.68486,-19.73086
1.61,21.270235,-19.660234
2.5066667,21.135273,-18.628607
0.9462069,17.218239,-16.272032
1.5866667,20.821009,-19.234343
1.1383333,21.0531,-19.914768
3.0,21.483114,-18.483114
2.0,19.977238,-17.977238
1.6858333,20.800453,-19.11462
2.0741668,21.90704,-19.832872
3.1525002,21.162407,-18.009907
0.56,17.595112,-17.035112
1.2138983,17.121088,-15.907189
2.4341667,21.367825,-18.933659
1.4366667,21.08284,-19.646173
5.0,22.14812,-17.14812
2.0,20.722132,-18.722132
4.3527193,18.899239,-14.546519
3.2207825,18.445545,-15.224763
4.867063,18.993687,-14.126623
3.472544,16.189283,-12.71674
2.01,19.844616,-17.834616
1.991111,18.876347,-16.885235
2.635,20.095537,-17.460537
4.235833,19.74664,-15.510806
1.2977778,16.103909,-14.80613
1.6582353,15.725061,-14.066826
3.2141666,19.516972,-16.302805
1.8066667,19.694576,-17.887909
7.0,21.167362,-14.167362
2.0,19.003101,-17.003101
3.776,18.811855,-15.035855
2.968421,19.049456,-16.081036
4.777973,19.729427,-14.951454
3.7391665,14.21701,-10.477843
1.8158333,18.793072,-16.977238
1.69,21.059334,-19.369333
2.458,20.563538,-18.105537
2.75,20.162966,-17.412966
3.5583332,19.78608,-16.227747
1.0166667,16.812418,-15.795752
1.5096492,16.364368,-14.854719
2.6241665,19.647074,-17.022907
1.4203391,19.743267,-18.322927
5.0,20.997765,-15.997765
2.0,19.032597,-17.032597
1.5966667,19.929958,-18.333292
2.12,20.020844,-17.900845
2.225,21.079922,-18.854921
1.58,21.11059,-19.53059
3.5225,20.0425,-16.52
1.3612499,16.571104,-15.209854
1.2836001,16.025602,-14.7420025
2.8069232,20.72718,-17.920258
5.0,21.139061,-16.139061
2.0,20.607277,-18.607277
2.05,20.66559,-18.615591
2.2541666,21.790564,-19.536396
3.6558332,21.07628,-17.420448
1.6310345,16.92799,-15.296955
2.9533334,21.201637,-18.248304
5.0,21.723452,-16.723452
2.0,20.600822,-18.600822
2.1866667,20.1074,-17.920734
2.8224998,21.364248,-18.541748
3.8125,20.866215,-17.053715
1.6221311,16.48533,-14.863199
3.3341668,20.787075,-17.452908
8.0,21.279476,-13.279476
3.0,20.004704,-17.004704
2.3591666,17.059498,-14.700331
3.11,18.626614,-15.516614
3.82,17.99406,-14.174061
1.7,13.711168,-12.0111685
3.1608334,18.572771,-15.411938
6.0,18.373907,-12.373907
5.0,17.252674,-12.252674
3.4225,19.377937,-15.955438
2.9325,20.91447,-17.981972
4.2483335,20.197865,-15.949532
1.9643333,15.709528,-13.745194
3.5808334,20.611887,-17.031054
6.0,20.779428,-14.7794285
2.0,19.279087,-17.279087
2.118182,16.84724,-14.729058
2.499091,18.348118,-15.849027
2.06,18.179777,-16.119778
3.009091,17.545137,-14.536047
1.580678,13.8843775,-12.3036995
2.5066667,18.036808,-15.530142
4.0,18.370441,-14.370441
