Target,Output,Diff
1.08,13.840429,-12.760429
1.19,14.964639,-13.774639
1.5999999,13.421202,-11.821201
0.684,8.565155,-7.881155
0.93,12.568689,-11.638689
2.0,12.53026,-10.53026
2.0,13.957602,-11.957602
1.285,10.204949,-8.91995
1.71,10.990484,-9.280484
1.954,10.617838,-8.663837
1.61,11.308355,-9.698356
2.5066667,9.892373,-7.3857064
0.9462069,6.5669847,-5.6207776
1.5866667,10.14916,-8.562493
1.1383333,9.968615,-8.830281
3.0,9.650731,-6.650731
2.0,13.939566,-11.939566
1.6858333,13.997259,-12.311426
2.0741668,14.837433,-12.763266
3.1525002,13.644028,-10.491528
0.56,8.121854,-7.561854
1.2138983,9.328395,-8.114496
2.4341667,14.928517,-12.49435
1.4366667,13.764694,-12.328028
5.0,12.820194,-7.8201942
2.0,14.120697,-12.120697
4.3527193,7.5908813,-3.238162
3.2207825,7.9254723,-4.70469
4.867063,8.968777,-4.1017137
3.472544,6.493602,-3.0210578
2.01,7.3372726,-5.3272724
1.991111,7.617197,-5.626086
2.635,8.39417,-5.7591696
4.235833,7.1493745,-2.9135413
1.2977778,3.732737,-2.4349594
1.6582353,4.4289265,-2.7706912
3.2141666,7.908731,-4.6945643
1.8066667,7.167113,-5.360446
7.0,7.0002804,-0.00028038025
2.0,7.7289057,-5.7289057
3.776,9.189391,-5.413391
2.968421,9.138708,-6.170287
4.777973,10.233051,-5.455078
3.7391665,5.795254,-2.0560877
1.8158333,9.207485,-7.391652
1.69,8.950404,-7.260404
2.458,9.951174,-7.4931736
2.75,9.541605,-6.791605
3.5583332,8.065163,-4.5068293
1.0166667,5.3136725,-4.2970057
1.5096492,5.96508,-4.4554305
2.6241665,7.894774,-5.2706075
1.4203391,8.082596,-6.6622567
5.0,7.8895226,-2.8895226
2.0,8.142202,-6.1422024
1.5966667,15.056231,-13.459564
2.12,14.849308,-12.729308
2.225,15.905004,-13.680004
1.58,15.355185,-13.775185
3.5225,14.514925,-10.992425
1.3612499,8.819494,-7.4582443
1.2836001,10.126529,-8.842929
2.8069232,14.569751,-11.762828
5.0,13.96118,-8.96118
2.0,11.297759,-9.297759
2.05,12.591648,-10.541648
2.2541666,13.588637,-11.334471
3.6558332,12.129954,-8.474121
1.6310345,7.8251467,-6.1941123
2.9533334,11.623625,-8.670292
5.0,11.551394,-6.5513945
2.0,12.71575,-10.71575
2.1866667,12.893694,-10.707027
2.8224998,13.829459,-11.00696
3.8125,12.417023,-8.604523
1.6221311,7.8417053,-6.219574
3.3341668,12.018747,-8.684581
8.0,11.792412,-3.7924118
3.0,13.017621,-10.017621
2.3591666,12.385669,-10.026503
3.11,12.586737,-9.476737
3.82,11.294222,-7.474222
1.7,6.98125,-5.28125
3.1608334,10.796873,-7.6360397
6.0,10.736103,-4.736103
5.0,11.495459,-6.4954586
3.4225,15.473057,-12.050557
2.9325,17.133272,-14.200772
4.2483335,15.368263,-11.11993
1.9643333,9.7256365,-7.761303
3.5808334,14.446193,-10.865359
6.0,14.4320345,-8.4320345
2.0,15.58633,-13.58633
2.118182,11.337895,-9.219713
2.499091,12.106634,-9.607543
2.06,11.790314,-9.730314
3.009091,11.089698,-8.080606
1.580678,7.3239756,-5.7432976
2.5066667,11.317366,-8.810699
