Target,Output,Diff
3.085,8.286431,-5.2014313
0.62333333,9.105881,-8.482548
0.63,9.489295,-8.859295
0.9891666,10.395074,-9.405908
1.2914286,7.786655,-6.4952264
1.2025,11.884323,-10.681823
0.878,10.962275,-10.084274
0.76857144,11.426111,-10.657539
1.0,15.459069,-14.459069
4.2066665,8.533757,-4.3270907
1.0645,9.400407,-8.335907
1.3075,10.580347,-9.272847
1.9791667,8.716765,-6.7375984
1.17,11.977116,-10.807116
1.4554546,12.140268,-10.6848135
1.22,11.402503,-10.182503
1.411,12.693932,-11.282931
2.0,12.807667,-10.807667
5.273333,6.728055,-1.4547219
1.7900001,7.976766,-6.186766
1.421356,7.801344,-6.3799877
2.11,9.636982,-7.5269823
1.855,9.400418,-7.5454183
2.1808333,6.2140207,-4.0331874
1.9441667,16.397373,-14.453207
1.6400001,14.001007,-12.361007
1.6425,14.401426,-12.758926
1.3699999,13.977608,-12.607608
3.0,14.4806595,-11.4806595
2.857826,7.863279,-5.005453
7.662931,8.179237,-0.5163064
1.6864035,7.914038,-6.2276344
5.929091,5.1967616,0.73232937
6.48,4.448263,2.0317369
1.8644828,5.940172,-4.0756893
1.5600001,6.201653,-4.641653
2.315,7.589342,-5.274342
2.9366665,4.905171,-1.9685044
2.5600002,8.8207655,-6.260765
2.47,7.4905996,-5.0205994
2.0033333,7.417695,-5.414362
2.1425,8.101227,-5.958727
4.0,8.179446,-4.179446
2.5744443,11.432888,-8.858444
7.678571,11.664524,-3.9859529
1.6812122,10.925144,-9.243932
6.1124997,7.633738,-1.5212383
1.7251785,9.072655,-7.347476
1.6725001,7.480273,-5.8077726
1.9183333,9.043518,-7.125185
2.7966666,6.127476,-3.3308096
2.225,10.511484,-8.286484
2.112,10.613644,-8.501644
1.6371429,9.23528,-7.598137
1.9,9.894496,-7.994496
3.0,9.977368,-6.9773684
5.6975,6.8702035,-1.1727033
1.491,7.9706497,-6.4796495
2.2146153,9.133831,-6.9192157
2.12,11.506699,-9.386699
2.5416665,6.483626,-3.9419594
2.2381818,10.987545,-8.749363
1.57,9.523243,-7.953243
1.5672727,9.977087,-8.409815
3.0,10.140661,-7.1406612
5.5327272,9.989375,-4.456648
6.95,8.696848,-1.7468481
1.4643334,10.911907,-9.447574
2.225,12.414949,-10.189949
2.5549998,9.4632225,-6.9082227
2.5983334,14.437398,-11.839065
1.7055557,13.042884,-11.337328
1.62,10.774011,-9.154011
3.0,10.8868065,-7.8868065
5.6609087,8.231462,-2.5705528
7.11,7.114237,-0.004236698
1.842069,8.927429,-7.08536
1.865,9.372622,-7.507622
2.3899999,10.422473,-8.032473
2.8645456,7.6914306,-4.826885
2.385,12.646543,-10.261542
1.7666667,11.7718115,-10.005145
2.0,12.302145,-10.302145
3.0,12.435787,-9.435787
6.003333,8.230816,-2.2274828
2.1537254,9.218377,-7.0646515
2.04,8.851782,-6.811782
1.9583334,9.46596,-7.507626
2.9641666,10.573511,-7.6093445
2.7408335,7.8420157,-5.101182
2.4766667,11.999965,-9.523298
2.2716668,11.59683,-9.325164
3.0,11.765548,-8.765548
7.070833,10.642957,-3.5721235
2.667,11.373614,-8.7066145
4.1975,13.359215,-9.161715
3.5608335,10.722626,-7.1617923
2.7533336,16.137878,-13.384544
3.3841667,15.3738785,-11.989712
4.0,15.442858,-11.442858
4.8875003,8.896789,-4.0092883
2.6851785,10.153731,-7.4685526
1.9475,10.467192,-8.519691
4.08,11.742853,-7.6628532
3.7254546,11.595011,-7.8695564
2.7508333,8.947289,-6.196456
2.3216667,13.288073,-10.966406
2.7366667,12.419763,-9.683096
