Target,Output,Diff
0.65999997,1.9238943,-1.2638943
0.6983333,1.8190207,-1.1206875
0.96500003,2.4646754,-1.4996754
1.1999999,2.3778071,-1.1778072
1.4442856,2.5814736,-1.137188
1.358,2.4956722,-1.1376722
4.4040003,3.2477493,1.156251
3.6496491,3.0489926,0.6006565
1.7372727,3.2849824,-1.5477097
1.78,3.22075,-1.4407501
4.04625,2.93795,1.1083
3.4672728,2.7333255,0.7339473
1.4471428,3.0427265,-1.5955837
1.718,2.9687643,-1.2507643
1.4463637,2.8961425,-1.4497788
1.12,2.804491,-1.684491
1.6463636,2.8723478,-1.2259842
1.4100001,2.7935157,-1.3835156
1.81,3.0070305,-1.1970305
1.6566668,2.9324837,-1.2758169
1.6275,3.3193362,-1.6918361
2.06375,3.2472026,-1.1834526
2.3533335,3.666191,-1.3128576
2.021111,3.6040368,-1.5829258
1.4666666,3.0932071,-1.6265405
1.55,3.065488,-1.5154881
1.9200001,3.5826883,-1.6626883
2.0066667,3.5588102,-1.5521436
2.0757143,3.974346,-1.8986316
2.98,3.9243479,-0.94434786
2.14,4.753398,-2.6133978
2.362,4.775162,-2.4131622
2.1033332,4.748457,-2.6451237
2.04,4.709467,-2.669467
2.135,3.980901,-1.845901
2.13,3.9397118,-1.8097117
1.5,3.6359982,-2.1359982
1.793,3.5509882,-1.7579882
2.004,3.5875874,-1.5835874
1.72,3.518828,-1.7988279
2.31,3.2628524,-0.9528525
1.72,3.182817,-1.462817
1.239,2.7829626,-1.5439626
1.29,2.8159473,-1.5259473
1.01,2.7053428,-1.6953428
1.6681819,2.8627925,-1.1946106
1.24,2.7899196,-1.5499196
1.6141666,2.7185347,-1.1043681
1.4499999,2.5230641,-1.0730642
1.4633334,2.469759,-1.0064256
1.065,2.1477044,-1.0827043
1.1725,2.0822463,-0.9097463
0.6016667,1.9777399,-1.3760732
0.6122222,1.8773091,-1.2650869
0.67,1.8124118,-1.1424117
0.8366667,1.9859672,-1.1493005
0.7966667,1.9190345,-1.1223679
0.9728572,2.0077932,-1.034936
0.89199996,1.9557291,-1.0637292
0.9633333,2.1290083,-1.1656749
1.0066667,2.0538883,-1.0472217
0.727,2.0276573,-1.3006573
0.78000003,1.9448617,-1.1648617
0.9409091,1.9632449,-1.0223358
1.34,1.9105077,-0.57050765
2.1629999,3.0215983,-0.8585985
2.22,2.9717855,-0.7517855
2.94,4.8763666,-1.9363666
4.7714286,4.829694,-0.05826521
3.085,5.1135864,-2.0285864
3.1425,5.1505823,-2.0080824
5.0475,5.29251,-0.2450099
4.715,5.3106203,-0.59562016
2.9366665,5.2634068,-2.3267403
1.515,3.3405173,-1.8255173
1.70625,3.273919,-1.5676692
1.3125,2.74293,-1.4304299
1.175,2.677062,-1.5020621
2.2,2.826057,-0.6260569
2.068,2.7606153,-0.6926153
1.385,5.2451553,-3.8601553
8.852,5.2773733,3.574627
1.1800001,4.936016,-3.756016
3.7954545,4.948908,-1.1534534
1.0,2.7727234,-1.7727234
1.5539999,2.724962,-1.1709621
1.9183333,3.3554137,-1.4370804
0.96666664,3.287115,-2.3204484
2.04,2.2477198,-0.2077198
1.3627273,2.1875849,-0.8248576
1.4200001,2.8747602,-1.4547601
1.3699999,2.876527,-1.5065272
1.0966667,2.8082502,-1.7115835
1.0527272,2.2509112,-1.198184
0.78000003,2.209073,-1.4290731
1.310909,2.3205633,-1.0096543
1.3349999,2.2521176,-0.9171177
1.2871428,2.4976637,-1.210521
1.814,2.4401314,-0.6261314
1.5250001,2.577505,-1.052505
1.285,2.5127838,-1.2277838
1.2475001,2.4506063,-1.2031063
1.1125,2.360334,-1.247834
0.9316666,2.2954438,-1.3637772
1.144,2.2052832,-1.0612831
1.12,2.1358924,-1.0158924
9.145588,2.9506278,6.19496
1.7938532,2.5667474,-0.77289426
1.0244955,2.3852344,-1.3607389
1.0477778,2.7319372,-1.6841594
0.97333336,2.694078,-1.7207446
8.714926,2.784972,5.9299536
1.5612962,2.559506,-0.9982097
0.901574,2.2818484,-1.3802744
0.878,2.8605099,-1.9825099
1.055,2.752283,-1.6972831
8.472728,3.2950358,5.177692
1.5721569,2.6311817,-1.0590248
1.2266667,2.3055682,-1.0789015
1.0008334,2.7865114,-1.785678
8.420635,3.3062172,5.114418
1.8888999,2.6521668,-0.7632669
1.1167,2.358337,-1.2416369
1.0454545,2.9046178,-1.8591633
1.16,2.8211987,-1.6611987
8.394444,3.6427712,4.751673
1.752625,2.973866,-1.221241
1.4909877,2.7651792,-1.2741915
1.5309091,3.1131907,-1.5822816
1.72,2.9881902,-1.2681901
8.625,3.1686318,5.4563684
2.3216038,2.5896068,-0.268003
1.9637964,2.3574471,-0.39365077
0.9122222,2.8637147,-1.9514925
0.96666664,2.7169962,-1.7503295
1.8626374,2.6960993,-0.8334619
1.2294382,2.5274396,-1.2980014
0.85749996,2.8378415,-1.9803416
0.68499994,2.7563584,-2.0713584
1.6937735,3.0189614,-1.3251879
1.0801904,2.8233166,-1.7431262
1.25,3.1533098,-1.9033098
0.665,3.1594524,-2.4944525
1.1,3.133996,-2.033996
3.4312499,3.0229254,0.40832448
1.892469,2.7833343,-0.8908652
1.3812048,2.5705981,-1.1893933
0.84,3.0814667,-2.2414668
1.8227273,2.9619515,-1.1392242
1.75,3.1582844,-1.4082844
1.0602942,2.8607779,-1.8004837
0.844,3.232224,-2.3882241
2.2857144,3.1546986,-0.8689842
2.5325928,3.7665465,-1.2339537
1.4745569,3.5633993,-2.0888424
7.942,3.5930305,4.3489695
2.307143,3.5118723,-1.2047293
2.3426263,3.0867484,-0.744122
1.5197,2.7997043,-1.2800043
1.69,3.0972908,-1.4072907
1.361,2.966807,-1.605807
2.3803124,3.5046487,-1.1243362
1.7857292,3.3170657,-1.5313365
9.51,3.5417633,5.968237
1.3277779,3.4552205,-2.1274426
2.046857,3.9745617,-1.9277046
1.3191261,3.5869164,-2.2677903
1.265,3.6169057,-2.3519058
1.5418183,3.5262136,-1.9843954
1.4153398,3.5296998,-2.1143599
1.0841177,3.4141474,-2.3300297
0.71599996,3.6565967,-2.9405966
1.5385714,3.594658,-2.0560865
1.5127586,3.2463624,-1.7336038
0.88431036,3.0742626,-2.1899524
0.78249997,3.3617253,-2.5792253
0.9425,3.2452326,-2.3027325
1.5828205,3.4136784,-1.8308579
1.0,3.290195,-2.290195
1.194,3.4300275,-2.2360275
1.465,3.3417666,-1.8767666
1.275,3.0985136,-1.8235136
2.3491666,3.2694628,-0.9202962
2.455,3.5496404,-1.0946405
2.83875,3.4890792,-0.65032935
3.3033333,4.021394,-0.7180605
2.4099998,3.9533627,-1.5433629
2.1033332,3.8155508,-1.7122176
2.0533333,3.789081,-1.7357478
1.8449999,3.441265,-1.5962652
1.595,2.961143,-1.366143
1.5275,2.8694987,-1.3419987
1.54,3.0443692,-1.5043693
1.7900001,2.9753923,-1.1853923
2.0971427,3.2934403,-1.1962976
1.8199999,3.252514,-1.432514
2.4577777,3.897684,-1.4399064
2.1733334,3.8441494,-1.670816
2.6175,4.5797567,-1.9622567
3.125,4.7932024,-1.6682024
3.3525,4.7444096,-1.3919096
4.08,5.366555,-1.2865553
3.6745455,5.3637104,-1.6891649
3.8633335,5.993283,-2.1299493
3.8866665,6.0069604,-2.1202939
4.3,7.453363,-3.1533628
4.28,7.369376,-3.089376
8.335556,7.3765087,0.9590473
1.2916666,3.5396194,-2.247953
1.3683333,3.4557571,-2.0874238
1.105,3.2766774,-2.1716774
3.88875,3.1862955,0.70245457
1.25,4.552292,-3.3022919
1.9616666,4.4739227,-2.5122561
1.084,2.4283376,-1.3443376
1.2625,2.3685913,-1.1060913
1.66,2.3436353,-0.68363535
1.0145454,2.2805786,-1.2660332
1.1211112,2.3524542,-1.231343
1.35,2.2753203,-0.92532027
1.08,2.6855934,-1.6055933
1.2442857,2.6055999,-1.3613142
1.1725,2.4729393,-1.3004392
1.1525,2.3675215,-1.2150215
1.31,3.245957,-1.935957
2.0457144,3.5611005,-1.5153861
1.716,3.5385158,-1.8225158
4.7200003,4.1001496,0.61985064
3.1833334,4.0690403,-0.8857069
5.043333,5.22644,-0.1831069
4.715,5.144837,-0.42983675
4.80625,6.031354,-1.2251039
4.59,5.9732084,-1.3832083
4.2545457,6.038589,-1.7840433
3.9700003,6.0639324,-2.0939322
3.8491666,5.544005,-1.6948383
3.7928572,4.319606,-0.52674866
3.7419999,4.234523,-0.49252295
2.6066666,3.8522086,-1.245542
2.7966666,3.7521129,-0.95544624
2.5058331,3.5119247,-1.0060916
2.1672728,3.4988666,-1.3315938
2.53,3.4426234,-0.9126234
2.106,3.959517,-1.853517
2.8271427,3.8961425,-1.0689998
3.3266666,4.3447666,-1.0181
2.9988887,4.267501,-1.2686121
2.76,4.7709618,-2.0109618
3.45,4.766472,-1.3164718
3.4544444,4.7034545,-1.2490101
2.6374998,4.431339,-1.793839
2.13,4.4649415,-2.3349414
2.8485715,4.3875513,-1.5389798
2.424,3.986732,-1.562732
3.6842856,3.9298687,-0.24558306
2.47,3.945413,-1.4754131
2.7585716,3.8689523,-1.1103806
3.0225,3.6266918,-0.6041918
2.7900002,3.5802495,-0.79024935
1.35,3.06139,-1.7113899
1.843,2.9874694,-1.1444694
0.89,2.3900175,-1.5000175
0.9758333,2.296124,-1.3202907
0.81,2.636509,-1.826509
1.14,2.5423992,-1.4023992
1.5674999,2.8115046,-1.2440047
1.3385714,2.7498517,-1.4112803
2.15,3.3300831,-1.180083
1.7833333,3.2586427,-1.4753094
1.9477777,3.4869404,-1.5391626
2.1733334,3.4198952,-1.2465618
1.9841666,3.3768578,-1.3926911
3.086,3.6491098,-0.5631099
3.6671429,3.6015015,0.0656414
2.06,2.8503335,-0.7903335
3.2357142,2.7582579,0.47745633
4.3755555,2.9597306,1.4158249
2.2966666,2.8552973,-0.5586307
9.559999,4.060551,5.4994483
8.697143,3.9749458,4.7221966
6.531429,3.4474373,3.0839915
4.685,3.3525782,1.3324218
2.429,2.4439278,-0.014927864
1.02,2.4129608,-1.3929608
1.6492175,2.7610703,-1.1118528
1.1906956,2.6357918,-1.4450961
1.9300001,2.960844,-1.030844
3.5100002,2.8785002,0.6315
1.0704718,2.2868288,-1.216357
0.94384617,2.111178,-1.1673317
0.6716666,2.5270815,-1.8554149
0.5833333,2.4352937,-1.8519604
1.3496078,2.3017397,-0.95213187
0.9483334,2.340663,-1.3923296
0.7736364,2.7442045,-1.9705682
0.76,2.4171438,-1.6571438
0.65,2.3005862,-1.6505862
0.7785714,2.3632567,-1.5846853
0.862,2.274842,-1.412842
1.7299999,2.8429353,-1.1129354
1.753,2.7944655,-1.0414655
2.186,3.9528403,-1.7668402
2.1314285,3.9107037,-1.7792752
2.52,5.004983,-2.484983
2.995,5.2099285,-2.2149286
2.69,5.186062,-2.4960618
2.3285713,5.1073666,-2.7787952
2.404,5.0159116,-2.6119115
2.0475001,4.595638,-2.5481377
2.12,4.5650716,-2.4450717
2.3600001,4.4362597,-2.0762596
2.3899999,4.3980145,-2.0080147
2.348,5.7376423,-3.3896422
2.2071428,5.69762,-3.490477
2.315,4.038961,-1.7239609
2.2525,3.9960618,-1.7435617
2.156,3.897021,-1.7410212
1.9885714,3.835147,-1.8465755
1.8625,4.1260586,-2.2635586
1.8449999,4.0504255,-2.2054257
2.01,4.0797224,-2.0697224
1.85,4.0074186,-2.1574187
1.8718182,3.7760506,-1.9042324
2.075,3.7100134,-1.6350133
2.3433332,3.6928914,-1.3495581
3.245,5.3983545,-2.1533546
3.0466666,5.4543853,-2.4077187
3.0149999,6.45066,-3.4356604
2.9725,6.499682,-3.5271819
3.855,6.950104,-3.0951042
3.3025,6.952998,-3.6504982
4.078889,6.6251554,-2.5462666
3.9066668,6.557065,-2.6503983
3.5170002,5.413601,-1.8966007
3.44,5.3815355,-1.9415355
3.0333333,4.6483335,-1.6150002
2.8999999,4.5728865,-1.6728866
2.9055557,4.084756,-1.1792002
3.1,4.0421143,-0.94211435
2.4683335,4.2587204,-1.7903869
4.7308335,3.4235935,1.30724
1.025,2.37035,-1.3453499
1.151,2.2842484,-1.1332483
1.986,2.536273,-0.55027306
1.4357142,2.4463212,-1.010607
1.225,2.7628253,-1.5378252
1.3525,2.6983259,-1.3458259
0.68000007,2.5791264,-1.8991263
0.96727276,2.5087209,-1.5414481
2.926,2.9619658,-0.03596568
4.385714,2.8639174,1.5217967
10.293333,3.752479,6.540854
28.738335,3.720248,25.018087
2.465,3.2080305,-0.74303055
1.7633333,3.1194754,-1.356142
1.304,4.513789,-3.2097893
1.9342858,4.4658585,-2.5315728
1.2358333,3.4219167,-2.1860833
1.14,3.3007078,-2.160708
1.4427273,3.2145505,-1.7718232
1.98,3.173544,-1.1935439
1.4849999,3.075954,-1.5909541
1.3528572,3.274787,-1.9219297
1.238,3.202981,-1.964981
1.4914286,3.3951557,-1.903727
1.328,3.3055382,-1.9775382
1.2874999,5.3971653,-4.1096654
2.127143,3.843572,-1.716429
2.4819999,3.7523365,-1.2703366
3.4283333,5.6597185,-2.2313852
3.2659998,5.596017,-2.330017
4.1425,5.8252697,-1.6827698
