Target,Output,Diff
1.08,1.6913698,-0.6113697
1.19,1.7324564,-0.5424564
1.5999999,1.8287601,-0.22876024
0.684,2.4320855,-1.7480855
0.93,1.5971798,-0.66717976
2.0,1.6692355,0.33076453
2.0,1.627017,0.37298298
1.285,2.8660445,-1.5810446
1.71,2.8993845,-1.1893845
1.954,2.96422,-1.01022
1.61,2.8304267,-1.2204267
2.5066667,2.9309754,-0.42430878
0.9462069,3.3853188,-2.4391117
1.5866667,2.744084,-1.1574172
1.1383333,2.8946872,-1.7563539
3.0,2.893114,0.10688591
2.0,2.8313537,-0.83135366
1.6858333,2.642274,-0.95644057
2.0741668,2.6696353,-0.5954685
3.1525002,2.8382041,0.314296
0.56,3.340681,-2.7806811
1.2138983,3.3474863,-2.1335878
2.4341667,2.5810914,-0.14692473
1.4366667,2.8045921,-1.3679254
5.0,2.6527095,2.3472905
2.0,2.6044586,-0.6044586
4.3527193,2.874124,1.4785953
3.2207825,3.006577,0.2142055
4.867063,2.996128,1.870935
3.472544,3.6714747,-0.19893074
2.01,2.825511,-0.815511
1.991111,2.8412607,-0.85014963
2.635,2.902997,-0.26799703
4.235833,3.036139,1.1996942
1.2977778,3.5488596,-2.251082
1.6582353,3.6202483,-1.962013
3.2141666,2.9922602,0.22190642
1.8066667,3.0099206,-1.2032539
7.0,2.9953763,4.0046234
2.0,2.7970603,-0.79706025
3.776,2.5114014,1.2645986
2.968421,2.731662,0.23675895
4.777973,2.5170622,2.260911
3.7391665,3.4695048,0.26966166
1.8158333,2.483517,-0.6676836
1.69,2.7002354,-1.0102353
2.458,2.6467667,-0.18876672
2.75,2.6817684,0.06823158
3.5583332,2.6981354,0.8601978
1.0166667,3.0588627,-2.042196
1.5096492,3.0832548,-1.5736057
2.6241665,2.438622,0.18554449
1.4203391,2.6749327,-1.2545936
5.0,2.6057587,2.3942413
2.0,2.4782155,-0.47821546
1.5966667,2.7734659,-1.1767992
2.12,2.8372545,-0.71725464
2.225,2.7988782,-0.5738783
1.58,2.8538947,-1.2738947
3.5225,2.850033,0.672467
1.3612499,3.3277056,-1.9664557
1.2836001,3.4060156,-2.1224155
2.8069232,2.602337,0.20458627
5.0,2.7765214,2.2234786
2.0,2.737435,-0.7374351
2.05,3.056804,-1.006804
2.2541666,3.0483956,-0.79422903
3.6558332,3.1543517,0.50148153
1.6310345,3.9398742,-2.3088398
2.9533334,2.8253374,0.12799597
5.0,3.0652027,1.9347973
2.0,3.0087743,-1.0087743
2.1866667,2.8068254,-0.6201587
2.8224998,2.8574255,-0.0349257
3.8125,2.9170525,0.8954475
1.6221311,3.5603333,-1.9382021
3.3341668,2.6228185,0.7113483
8.0,2.7903283,5.209672
3.0,2.7659268,0.23407316
2.3591666,3.0229788,-0.66381216
3.11,3.1165981,-0.006598234
3.82,3.1238647,0.6961353
1.7,3.5616593,-1.8616593
3.1608334,3.0195255,0.14130783
6.0,3.0675328,2.9324672
5.0,2.9985662,2.0014338
3.4225,3.978426,-0.5559261
2.9325,4.0306,-1.0981002
4.2483335,4.066362,0.18197155
1.9643333,4.6271877,-2.6628544
3.5808334,3.9118004,-0.33096695
6.0,4.0512314,1.9487686
2.0,3.9315307,-1.9315307
2.118182,3.0135653,-0.89538336
