Target,Output,Diff
0.94916666,-1.410327,2.3594937
1.0071429,-2.2874641,3.2946072
0.928,-2.2208595,3.1488595
0.6966667,-1.3172674,2.0139341
7.701667,-1.5893269,9.290994
0.97999996,-1.5636778,2.5436778
2.0,-2.2682524,4.2682524
1.8425,-0.543375,2.385875
1.4112499,-0.5585146,1.9697645
1.2766666,-1.748724,3.0253906
1.551111,-1.6962528,3.2473638
1.05,-1.0755348,2.1255348
9.52,-0.86750984,10.38751
9.213333,-0.8363104,10.0496435
8.14,-0.73442936,8.87443
1.0928571,-0.38454533,1.4774024
1.654,-0.30523777,1.9592378
2.0,-1.6000795,3.6000795
1.465,-0.11230469,1.5773047
2.071,-0.41491032,2.4859104
2.2325,-1.1955643,3.4280643
1.89,-1.1731768,3.0631766
2.0666666,-1.1375856,3.2042522
1.5108334,-0.5478525,2.0586858
9.6975,-0.8272743,10.524775
9.67125,-0.73029995,10.40155
1.8050001,-0.36227703,2.167277
1.65625,-0.31319618,1.9694462
2.0,-1.0449696,3.0449696
3.920766,3.1986523,0.72211385
1.9778448,1.4114809,0.56636393
2.77,1.011486,1.7585139
2.5662498,1.0152054,1.5510445
2.9699998,0.96609116,2.0039086
3.067143,0.47023296,2.59691
2.952,0.48561573,2.4663842
2.08,1.2531614,0.8268385
10.416666,0.49779415,9.918872
10.52,0.5928898,9.927111
2.2966666,0.6831455,1.6135211
2.0,-0.7555628,2.7555628
3.84861,3.2910585,0.5575514
1.7155001,1.6945267,0.020973444
2.1491666,0.8407116,1.308455
2.3483334,0.08547306,2.2628603
1.5825,0.5058861,1.0766139
10.330833,0.37007332,9.96076
2.035,0.47263622,1.5623639
2.0,-1.6801977,3.6801977
2.3274999,0.091695786,2.235804
2.362857,0.074567795,2.2882893
2.0255556,-1.2682581,3.2938137
1.9300001,-1.2207413,3.1507413
1.5691667,-0.67106724,2.240234
9.89,-0.35943508,10.249435
9.976364,-0.2632761,10.23964
1.9300001,0.1164484,1.8135517
2.008,0.20465851,1.8033414
2.0,-1.3102484,3.3102484
2.3033333,-0.06766319,2.3709965
2.93,-0.07472515,3.0047252
2.7,-0.12729168,2.8272917
2.6116667,-1.1984682,3.810135
2.0416667,-0.18359184,2.2252586
9.75,0.27755737,9.472443
2.3541667,0.4810524,1.8731143
2.0,-1.1563826,3.1563826
2.8908334,0.27173042,2.619103
2.996,-1.0076904,4.0036907
3.5714288,-0.9560776,4.5275064
2.0333333,-0.24310112,2.2764344
10.298,-0.65318584,10.951186
1.785,-0.66435814,2.449358
2.02,-0.6402874,2.6602874
2.0,-0.3880024,2.3880024
2.81,0.27120113,2.5387988
3.2150002,-1.0027504,4.2177505
2.98,-0.95777035,3.9377704
2.34,-0.83280087,3.1728008
9.36,-1.497941,10.857941
10.137273,-1.4201498,11.557423
2.3877778,-1.2630892,3.650867
2.2166667,-1.2401772,3.4568439
4.0,-0.6440592,4.644059
3.6658335,0.48992634,3.1759071
4.0808334,-0.74044704,4.8212805
2.8458333,-0.6770849,3.5229182
10.282499,-0.3365469,10.619046
10.87625,-0.2436161,11.119866
2.4609091,-0.06672382,2.527633
4.0,-0.8094263,4.8094263
2.8240001,-0.27372837,3.0977285
2.8642857,-0.27850628,3.142792
2.33,-1.629262,3.959262
1.6400001,-1.5691376,3.2091377
3.4380002,-1.5970802,5.0350804
2.3475,-2.3958588,4.7433586
9.78,-1.1135864,10.893586
9.331819,-1.017952,10.349771
2.0833333,-0.83598137,2.9193146
3.0,-2.017436,5.017436
4.7200003,0.20699024,4.51301
3.5009093,0.2009058,3.3000035
5.251667,-1.184721,6.436388
3.75,-1.149354,4.899354
4.81,-1.1586237,5.9686236
3.003333,-1.8985033,4.9018364
9.819166,-2.262392,12.081558
2.2766666,-2.0510912,4.327758
2.522222,-2.016964,4.539186
5.0,-1.46348,6.46348
4.3,0.88295937,3.4170408
4.605,0.8759594,3.7290406
5.1800003,-0.35102844,5.5310287
3.6325,-0.74590683,4.3784065
10.356667,-0.88261604,11.239283
10.193334,-0.8068943,11.000228
2.6,-0.765605,3.3656049
3.462222,-0.7433796,4.2056017
6.0,0.118169785,5.88183
5.0099998,1.6570044,3.3529954
5.1025,1.6444016,3.4580984
5.56,0.8747864,4.6852136
4.67,0.92912674,3.7408733
3.1216667,0.21409035,2.9075763
9.24,-0.73138237,9.971382
9.49,-0.6839609,10.173961
2.6916668,-0.5560589,3.2477257
10.0,1.6231108,8.376889
4.67,2.219553,2.450447
4.7127275,2.1988678,2.5138597
3.5049999,1.0900927,2.4149072
4.1757145,1.0716772,3.1040373
4.315,1.1455536,3.1694465
3.4099998,1.1277914,2.2822084
3.0133333,0.82273006,2.1906033
8.62,-0.8858013,9.505801
8.9345455,-0.83277225,9.767318
3.2025,-0.6800413,3.8825414
2.6475,-0.65122604,3.298726
7.0,3.237381,3.762619
3.9050002,1.0740471,2.8309531
3.1999998,0.4739666,2.7260332
2.5775,0.0037527084,2.5737474
7.87,-1.6350603,9.50506
7.4744444,-1.5894222,9.063867
2.2666667,-1.6021395,3.8688061
8.0,0.15284538,7.8471546
3.5958335,0.5777025,3.018131
4.32,-0.33266544,4.6526656
2.886,-0.28348446,3.1694844
2.539167,-0.13772011,2.676887
6.9266663,-2.3049498,9.231616
2.5080001,-2.1270514,4.6350517
1.98,-2.1278954,4.1078954
7.0,-0.015769005,7.015769
4.0325003,0.6708574,3.3616428
3.1566668,0.107917786,3.048749
2.6533332,0.10287285,2.5504603
2.4858334,0.001001358,2.484832
7.33,-1.9804239,9.310424
7.558182,-1.9142294,9.472411
2.3933334,-1.9549465,4.34828
2.0,-0.057821274,2.0578213
3.98,0.32164097,3.658359
2.8600001,-0.9628868,3.822887
1.91,-0.990057,2.9000568
2.3466666,-0.9225941,3.2692606
2.81,-0.9495449,3.7595448
2.1641667,-0.70759773,2.8717644
7.86,-1.7560291,9.61603
7.8570004,-1.669898,9.526898
2.26,-1.4359713,3.6959713
2.218,-1.379447,3.597447
2.0,-1.1758041,3.1758041
2.363846,-0.5415964,2.9054425
1.4490908,-1.169858,2.618949
1.29,-1.1830187,2.4730186
2.54,-1.11516,3.65516
1.2625,-1.2315321,2.4940321
7.75,-2.7336407,10.483641
7.4110003,-2.696371,10.107371
1.15,-2.7796173,3.9296174
1.419,-2.7874994,4.2064996
2.0,-1.2147188,3.2147188
3.36,-0.4735613,3.8335612
2.7045455,-0.47733784,3.1818833
1.55,-1.2841368,2.8341367
2.3955555,-1.2243366,3.6198921
1.8666667,-0.08366108,1.9503278
8.051111,-2.0342875,10.085399
7.5933332,-1.9402647,9.533598
1.8299999,-1.7968941,3.626894
2.0,-0.7810545,2.7810545
2.7783334,-0.2569914,3.0353248
2.1191666,-0.28536797,2.4045346
1.6641666,1.5509033,0.11326325
7.876,-2.7711773,10.647177
7.9185715,-2.6942587,10.61283
1.46,-2.545762,4.005762
1.4755557,-2.5220728,3.9976285
2.0,0.25926113,1.7407389
2.45,-0.5443859,2.994386
1.7533333,-1.2037325,2.9570658
1.8244444,-1.1478949,2.9723392
1.3391666,-0.1858902,1.5250568
7.4933333,-3.2203913,10.713724
7.828889,-3.1566477,10.985537
1.3866665,-3.1607294,4.5473957
2.0,-0.7277632,2.7277632
2.0900002,-0.8934498,2.98345
1.4625,-0.898242,2.360742
1.5366666,-1.444788,2.9814546
1.2666667,-0.4522133,1.7188799
7.363333,-4.2386103,11.601944
1.1372727,-4.28957,5.4268427
1.27,-4.290223,5.560223
2.0,-1.0857964,3.0857964
1.2558334,-1.2436628,2.4994962
1.25,-2.0445013,3.2945013
1.3266666,-1.9954777,3.3221443
0.735,-0.34876823,1.0837682
7.2583337,-3.1269503,10.385284
1.308,-2.939458,4.247458
1.4342856,-2.908616,4.3429017
2.0,-1.9148159,3.914816
1.23,-1.2732029,2.503203
1.0849999,-1.2823915,2.3673916
0.96000004,-2.5374794,3.4974794
0.93333334,-2.4849415,3.4182749
0.6375,-1.7231274,2.3606274
7.083333,-1.9818211,9.065154
6.8955555,-1.88766,8.7832155
0.86230767,-1.6588736,2.521181
2.0,-2.4091196,4.4091196
1.23,-0.9530449,2.183045
1.18625,-0.96201897,2.148269
0.96875,-2.176175,3.144925
1.2725,-2.1244144,3.3969145
0.8466667,-1.6429424,2.4896092
7.26,-1.6751575,8.935158
7.272,-1.5709305,8.84293
1.1166667,-1.3073397,2.4240065
1.1611111,-1.2432528,2.4043639
2.0,-2.156272,4.156272
1.1925,-0.60405254,1.7965525
1.1383333,-1.6017866,2.74012
0.7558333,-0.95203876,1.7078722
8.128,-1.4187479,9.546748
8.084286,-1.3160992,9.400385
1.125,-1.0172892,2.1422892
1.0125,-0.9595251,1.9720252
2.0,-1.6428709,3.642871
2.0900002,-1.1707115,3.2607117
1.6433333,-1.1711454,2.8144789
1.5333333,-2.2752,3.8085332
1.7611111,-2.2198915,3.9810028
1.0741667,-1.6446447,2.7188115
8.900833,-0.9750271,9.87586
1.3341666,-0.7448435,2.07901
2.0,-2.2602463,4.2602463
1.3199999,-1.0830212,2.403021
1.441,-1.0970163,2.5380163
1.1436363,-2.4189806,3.5626168
1.5,-2.3682737,3.8682737
0.90833336,-1.3754225,2.2837558
7.8100004,-2.3270273,10.137028
8.621819,-2.2501326,10.871951
1.16,-2.120943,3.280943
1.0,-2.0974445,3.0974445
2.0,-2.0716047,4.0716047
1.405,-1.1655092,2.5705092
1.734,-1.1765718,2.9105718
0.69,-2.371602,3.061602
1.258,-2.310996,3.568996
0.97833335,-1.3343477,2.3126812
8.668333,-2.2742844,10.942617
1.1666666,-2.0201206,3.1867871
2.0,-2.3461103,4.3461103
3.4033334,0.31721592,3.0861175
3.5100002,-0.73538303,4.2453833
2.4942856,-0.68727016,3.1815557
1.9566667,0.5424166,1.4142501
9.423333,-2.4846077,11.907941
2.3899999,-2.3105478,4.7005477
1.8027272,-2.3094606,4.112188
2.0,-0.021047592,2.0210476
5.9558334,2.362361,3.5934725
4.896,1.4575481,3.4384518
5.417143,1.5093899,3.907753
3.5308335,2.156992,1.3738415
12.5,-0.5889797,13.08898
11.913637,-0.54712296,12.46076
3.3871427,-0.37158966,3.7587323
3.786,-0.35648823,4.1424885
2.0,2.7101898,-0.7101898
5.368182,2.674594,2.6935883
4.6541667,1.9175959,2.7365708
3.3341668,2.1826887,1.151478
11.799999,0.6332302,11.166769
12.146,0.7198429,11.426157
3.4416666,0.7562399,2.6854267
3.0,2.8722334,0.12776661
6.516,2.4336433,4.0823565
5.2614284,2.408514,2.8529143
4.15,1.750102,2.399898
6.0242853,1.7910814,4.233204
4.916667,1.7850637,3.1316032
