Target,Output,Diff
0.94916666,-39.080048,40.029213
1.0071429,-29.772911,30.780054
0.928,-29.477066,30.405066
0.6966667,-24.144375,24.841042
7.701667,-13.993923,21.695591
0.97999996,-12.020653,13.000652
2.0,-31.216415,33.216415
1.8425,-32.98938,34.83188
1.4112499,-32.77129,34.18254
1.2766666,-23.049541,24.326208
1.551111,-22.716835,24.267946
1.05,-18.425663,19.475662
9.52,-9.02346,18.54346
9.213333,-8.762206,17.97554
8.14,-8.336822,16.476822
1.0928571,-6.4631166,7.555974
1.654,-6.1754026,7.829403
2.0,-26.701319,28.701319
1.465,-33.035046,34.500046
2.071,-33.081165,35.152164
2.2325,-23.441788,25.674288
1.89,-23.269077,25.159077
2.0666666,-23.119362,25.186028
1.5108334,-19.079237,20.59007
9.6975,-8.079285,17.776785
9.67125,-7.5951157,17.266365
1.8050001,-5.8456254,7.650625
1.65625,-5.5551424,7.2113924
2.0,-27.144053,29.144053
3.920766,-25.934452,29.855219
1.9778448,-10.935593,12.913438
2.77,-24.381718,27.151718
2.5662498,-24.205685,26.771935
2.9699998,-24.19936,27.16936
3.067143,-20.879852,23.946995
2.952,-20.700388,23.652388
2.08,-16.551834,18.631834
10.416666,-2.5951138,13.01178
10.52,-2.280412,12.800412
2.2966666,-1.3318425,3.628509
2.0,-24.492374,26.492374
3.84861,-24.911814,28.760424
1.7155001,-10.716821,12.432321
2.1491666,-23.522177,25.671343
2.3483334,-19.821564,22.169897
1.5825,-15.240622,16.823122
10.330833,-3.8185415,14.149375
2.035,-1.9180415,3.9530416
2.0,-22.684006,24.684006
2.3274999,-34.565548,36.893047
2.362857,-34.360275,36.723133
2.0255556,-25.004232,27.029789
1.9300001,-24.693966,26.623966
1.5691667,-20.384369,21.953535
9.89,-10.276279,20.166279
9.976364,-9.845134,19.821499
1.9300001,-8.143344,10.073344
2.008,-7.8768625,9.884863
2.0,-28.431648,30.431648
2.3033333,-33.382324,35.685658
2.93,-33.235012,36.165012
2.7,-33.022415,35.722416
2.6116667,-25.429249,28.040916
2.0416667,-20.53241,22.574076
9.75,-8.373322,18.123322
2.3541667,-6.3639936,8.718161
2.0,-28.358538,30.358538
2.8908334,-34.03912,36.929955
2.996,-26.369188,29.365189
3.5714288,-26.04827,29.619698
2.0333333,-21.029375,23.062708
10.298,-9.449248,19.74725
1.785,-7.776904,9.561904
2.02,-7.4927044,9.512705
2.0,-29.47809,31.47809
2.81,-36.43844,39.24844
3.2150002,-27.15393,30.36893
2.98,-26.92238,29.90238
2.34,-21.488018,23.828018
9.36,-12.526367,21.886368
10.137273,-12.068509,22.205782
2.3877778,-10.592565,12.980343
2.2166667,-10.364006,12.580673
4.0,-28.875303,32.875305
3.6658335,-37.609535,41.275368
4.0808334,-27.946568,32.0274
2.8458333,-20.01545,22.861282
10.282499,-14.74258,25.02508
10.87625,-14.280196,25.156446
2.4609091,-12.503642,14.964551
4.0,-27.882986,31.882986
2.8240001,-36.608875,39.432877
2.8642857,-36.47054,39.334824
2.33,-27.662565,29.992565
1.6400001,-27.762022,29.402021
3.4380002,-27.503738,30.941738
2.3475,-20.267128,22.614628
9.78,-11.207858,20.987858
9.331819,-10.773883,20.105701
2.0833333,-9.631554,11.714887
3.0,-27.745592,30.745592
4.7200003,-36.848957,41.56896
3.5009093,-36.710457,40.211365
5.251667,-28.458902,33.71057
3.75,-28.30563,32.05563
4.81,-28.062084,32.872086
3.003333,-20.957981,23.961315
9.819166,-10.538026,20.357193
2.2766666,-9.278074,11.554741
2.522222,-9.062549,11.58477
5.0,-28.376196,33.376198
4.3,-36.237705,40.537704
4.605,-36.103962,40.70896
5.1800003,-27.805946,32.985947
3.6325,-20.653744,24.286243
10.356667,-12.23657,22.593237
10.193334,-11.803428,21.996761
2.6,-10.444337,13.044336
3.462222,-10.20814,13.670362
6.0,-28.694754,34.694756
5.0099998,-34.98285,39.992847
5.1025,-34.830776,39.933277
5.56,-26.554434,32.114433
4.67,-26.408413,31.078413
3.1216667,-20.2094,23.331066
9.24,-10.824281,20.064281
9.49,-10.517389,20.00739
2.6916668,-9.115112,11.806779
10.0,-27.358408,37.358406
4.67,-31.807411,36.47741
4.7127275,-31.66269,36.375416
3.5049999,-22.921217,26.426216
4.1757145,-22.667603,26.843317
4.315,-22.745422,27.060423
3.4099998,-22.492258,25.902258
3.0133333,-16.40394,19.417274
8.62,-5.901406,14.521406
8.9345455,-5.335467,14.270012
3.2025,-4.1070647,7.3095646
2.6475,-3.937864,6.5853643
7.0,-23.908123,30.908123
3.9050002,-35.188705,39.093704
3.1999998,-26.997154,30.197155
2.5775,-21.19463,23.77213
7.87,-14.699175,22.569176
7.4744444,-14.277533,21.751976
2.2666667,-12.883115,15.149781
8.0,-27.724592,35.724594
3.5958335,-35.544617,39.14045
4.32,-27.156242,31.476242
2.886,-26.910791,29.796791
2.539167,-21.2883,23.827467
6.9266663,-13.234331,20.160997
2.5080001,-11.536957,14.044957
1.98,-11.280558,13.260557
7.0,-28.762684,35.762684
4.0325003,-34.875835,38.908337
3.1566668,-26.913958,30.070625
2.6533332,-26.663816,29.31715
2.4858334,-22.442116,24.92795
7.33,-13.163956,20.493956
7.558182,-12.717704,20.275887
2.3933334,-11.137255,13.530588
2.0,-30.019405,32.019405
3.98,-32.686317,36.666317
2.8600001,-24.179506,27.039507
1.91,-24.100368,26.010368
2.3466666,-23.932331,26.278997
2.81,-23.845005,26.655005
2.1641667,-21.814743,23.97891
7.86,-9.854649,17.71465
7.8570004,-9.270615,17.127615
2.26,-7.849864,10.109864
2.218,-7.601823,9.819822
2.0,-29.956322,31.956322
2.363846,-33.514168,35.878014
1.4490908,-24.738026,26.187117
1.29,-24.556858,25.846859
2.54,-24.460182,27.000183
1.2625,-19.531754,20.794254
7.75,-10.704727,18.454727
7.4110003,-10.308515,17.719515
1.15,-8.803855,9.953855
1.419,-8.58824,10.007239
2.0,-27.157856,29.157856
3.36,-35.82189,39.181892
2.7045455,-35.638176,38.34272
1.55,-26.34225,27.89225
2.3955555,-26.069963,28.465519
1.8666667,-22.144684,24.01135
8.051111,-10.685038,18.736149
7.5933332,-10.1862135,17.779547
1.8299999,-8.395387,10.225387
2.0,-29.972246,31.972246
2.7783334,-38.460823,41.239155
2.1191666,-29.648888,31.768055
1.6641666,-24.956512,26.62068
7.876,-12.255037,20.131037
7.9185715,-11.767564,19.686134
1.46,-9.014754,10.474754
1.4755557,-8.591997,10.067553
2.0,-32.19744,34.19744
2.45,-37.4836,39.9336
1.7533333,-28.331158,30.084492
1.8244444,-28.090118,29.914562
1.3391666,-22.92765,24.266817
7.4933333,-12.658396,20.15173
7.828889,-12.164305,19.993195
1.3866665,-9.786556,11.173223
2.0,-30.798237,32.798237
2.0900002,-38.086323,40.176323
1.4625,-37.898613,39.361115
1.5366666,-28.368538,29.905205
1.2666667,-23.237144,24.50381
7.363333,-12.917261,20.280594
1.1372727,-10.757994,11.895267
1.27,-10.427871,11.69787
2.0,-30.956327,32.95633
1.2558334,-37.982567,39.2384
1.25,-29.072777,30.322777
1.3266666,-28.776546,30.103212
0.735,-24.422876,25.157877
7.2583337,-12.404102,19.662436
1.308,-10.112556,11.420556
1.4342856,-9.793563,11.227848
2.0,-31.747215,33.747215
1.23,-36.23528,37.46528
1.0849999,-36.04235,37.12735
0.96000004,-26.667376,27.627377
0.93333334,-26.367605,27.300938
0.6375,-21.381397,22.018898
7.083333,-11.198455,18.281788
6.8955555,-10.709382,17.604939
0.86230767,-8.535842,9.3981495
2.0,-28.837265,30.837265
1.23,-35.037243,36.267242
1.18625,-34.82239,36.00864
0.96875,-25.188145,26.156895
1.2725,-24.875536,26.148037
0.8466667,-21.07023,21.916897
7.26,-10.973064,18.233065
7.272,-10.489481,17.76148
1.1166667,-8.6894245,9.806091
1.1611111,-8.41258,9.57369
2.0,-28.986013,30.986013
1.1925,-37.32241,38.51491
1.1383333,-27.52943,28.667763
0.7558333,-23.721004,24.476837
8.128,-15.295053,23.423054
8.084286,-14.831253,22.915539
1.125,-12.923992,14.048992
1.0125,-12.634094,13.646594
2.0,-30.624416,32.624416
2.0900002,-36.877247,38.967247
1.6433333,-36.66291,38.306244
1.5333333,-26.973099,28.506432
1.7611111,-26.666496,28.427607
1.0741667,-21.617012,22.69118
8.900833,-11.572401,20.473234
1.3341666,-9.734091,11.068257
2.0,-28.913212,30.913212
1.3199999,-36.02446,37.34446
1.441,-35.835007,37.27601
1.1436363,-26.709593,27.85323
1.5,-26.419117,27.919117
0.90833336,-21.58068,22.489014
7.8100004,-10.422807,18.232807
8.621819,-9.93739,18.559208
1.16,-8.019136,9.179136
1.0,-7.7416477,8.741648
2.0,-29.168839,31.168839
1.405,-37.637302,39.0423
1.734,-37.440445,39.174446
0.69,-27.932365,28.622366
1.258,-27.643013,28.901012
0.97833335,-21.696995,22.675327
8.668333,-11.856348,20.524681
1.1666666,-9.532263,10.69893
2.0,-28.985865,30.985865
3.4033334,-36.21235,39.61568
3.5100002,-27.053333,30.563334
2.4942856,-26.8104,29.304686
1.9566667,-20.322828,22.279495
9.423333,-11.37109,20.794422
2.3899999,-9.4876585,11.877659
1.8027272,-9.185198,10.987925
2.0,-28.246151,30.246151
5.9558334,-33.608826,39.56466
4.896,-24.93137,29.82737
5.417143,-24.681328,30.09847
3.5308335,-18.841106,22.37194
12.5,-8.519086,21.019085
11.913637,-8.034557,19.948195
3.3871427,-6.4392576,9.826401
3.786,-6.2140203,10.00002
2.0,-26.82943,28.82943
5.368182,-35.08812,40.456303
4.6541667,-25.882553,30.53672
3.3341668,-19.260517,22.594685
11.799999,-11.653709,23.453709
12.146,-11.175398,23.321398
3.4416666,-9.487778,12.929444
3.0,-27.191757,30.191757
6.516,-34.663002,41.179
5.2614284,-34.546852,39.80828
4.15,-25.590298,29.740297
6.0242853,-25.405106,31.42939
4.916667,-25.126486,30.043152
3.6591668,-17.410284,21.06945
11.05,-8.064699,19.1147
11.84,-7.652893,19.492893
4.9208336,-5.944798,10.865631
6.0,-25.239155,31.239155
3.6991668,-37.290607,40.989773
2.8224998,-28.382692,31.205193
2.8133333,-28.182566,30.9959
4.4040003,-27.99437,32.39837
2.2833333,-22.3424,24.625732
8.87,-11.323492,20.193493
10.186363,-10.825497,21.01186
2.81,-8.6401415,11.450142
3.23,-8.396912,11.626911
5.0,-30.469688,35.46969
3.23,-38.990025,42.220024
3.342,-38.87129,42.213287
2.0516667,-30.48436,32.536026
1.5733333,-24.821743,26.395077
8.8544445,-14.484229,23.338673
8.679999,-13.9701605,22.65016
1.8700001,-12.196882,14.066882
1.5183334,-11.980285,13.498618
5.0,-33.284187,38.284187
2.7575002,-37.229206,39.986706
2.8062499,-37.08438,39.890633
2.6866665,-28.387526,31.074192
2.48,-28.259363,30.739363
3.1437502,-28.203365,31.347115
2.0175,-21.60512,23.62262
8.446667,-12.181893,20.62856
8.34,-11.714094,20.054094
1.7933333,-9.899103,11.692436
5.0,-29.333763,34.333763
9.95,-35.079025,45.029026
3.7810001,-34.96387,38.744873
11.252001,-25.791729,37.04373
2.5900002,-25.471725,28.061726
2.0049999,-25.623363,27.628363
3.4566667,-17.618895,21.075562
9.0225,-8.016391,17.03889
28.252499,-6.5723524,34.824852
1.6575,-6.335633,7.9931326
5.0,-25.559465,30.559465
3.425,-35.728043,39.15304
3.246,-35.60447,38.850468
1.7739999,-26.107899,27.881899
3.4099998,-25.930634,29.340633
1.6216667,-16.918308,18.539974
8.693334,-9.753832,18.447166
8.581667,-9.290119,17.871786
33.505455,-7.580521,41.085976
2.0,-25.196499,27.196499
3.1558332,-39.852898,43.00873
1.5250001,-30.61023,32.13523
2.98,-30.428585,33.408585
1.38,-21.08845,22.468449
8.984166,-14.474717,23.458883
7.625,-12.361689,19.986689
2.0,-30.322828,32.32283
2.175,-35.64183,37.81683
4.07,-35.521046,39.591045
1.2625,-26.397907,27.660408
0.67,-26.092377,26.762377
1.7283334,-25.889702,27.618034
1.3575,-18.271408,19.628908
7.79,-8.893052,16.683052
8.137273,-8.421497,16.55877
12.705384,-6.81952,19.524904
2.0,-26.081577,28.081577
2.3466666,-37.556206,39.902874
1.3199999,-28.506573,29.826572
1.99,-28.458405,30.448404
1.882,-28.286802,30.168802
1.4633334,-22.893875,24.357208
7.3791666,-11.293883,18.67305
1.7371428,-9.382653,11.119796
1.718,-9.197217,10.915217
2.0,-30.601406,32.601406
2.05,-34.93149,36.98149
2.8463638,-34.772747,37.61911
2.415,-25.605244,28.020245
1.9300001,-25.371103,27.301104
1.7900001,-19.26006,21.05006
7.392,-9.819147,17.211147
7.5271425,-9.397192,16.924335
1.7416667,-7.7320995,9.473766
3.2166667,-7.4789324,10.695599
2.0,-26.95673,28.95673
2.345,-37.611446,39.956448
1.7720001,-37.455162,39.22716
1.4816667,-27.833931,29.315598
1.1999999,-23.011196,24.211197
7.195,-13.277741,20.472742
7.614,-12.779279,20.393278
1.7983334,-10.61674,12.415073
2.0,-30.484577,32.484577
2.3681817,-38.93819,41.306374
1.8808334,-29.216103,31.096935
1.4616667,-24.054586,25.516253
7.5959997,-15.13529,22.731289
7.9983335,-14.642116,22.64045
1.8383334,-12.284033,14.122366
2.0,-31.37805,33.37805
2.306,-38.01925,40.32525
2.4271429,-37.827507,40.25465
2.21,-28.415016,30.625015
1.5716666,-23.705194,25.276861
8.285,-12.907342,21.19234
8.203,-12.439201,20.6422
2.0708332,-10.307915,12.378748
2.0,-31.151825,33.151825
2.6075,-37.18357,39.79107
2.4850001,-36.986168,39.47117
1.66,-27.68015,29.340149
2.2927272,-27.425337,29.718063
1.4849999,-22.118681,23.603682
9.406667,-10.688236,20.094902
1.9691668,-8.618064,10.587231
2.0,-29.955503,31.955503
1.9716667,-38.52236,40.49403
1.882,-29.274054,31.156054
1.9599999,-28.984089,30.944088
1.5816666,-24.41086,25.992527
9.740833,-13.08425,22.825085
1.6216667,-11.188312,12.8099785
2.0,-31.430006,33.430008
1.94,-35.90068,37.84068
1.7928572,-35.693504,37.486362
1.756,-26.544075,28.300076
1.5085714,-26.238056,27.746628
1.2233334,-21.34022,22.563553
9.9800005,-9.318138,19.298138
9.940001,-8.813172,18.753174
1.49,-6.5639234,8.053924
2.0,-28.775997,30.775997
1.8299999,-36.65005,38.48005
1.6833334,-36.453148,38.136482
1.65625,-27.230377,28.886627
1.8700001,-26.915516,28.785517
1.1424999,-22.193623,23.336123
10.0199995,-10.588734,20.608734
9.732,-10.09728,19.82928
1.5741668,-8.067339,9.641506
2.0,-29.468878,31.468878
1.8519504,-28.161915,30.013865
0.8980909,-13.727051,14.625142
1.27,-26.360332,27.630333
1.777,-26.210478,27.987478
1.4658333,-23.366009,24.831842
1.079091,-18.43082,19.50991
9.855,-5.8637266,15.718726
10.878333,-5.5500803,16.428413
1.4341667,-4.570462,6.004629
2.0,-26.206627,28.206627
2.1199896,-28.076742,30.196732
0.7235455,-13.775945,14.49949
1.4691668,-26.135635,27.604801
1.4341667,-23.197649,24.631815
0.95454544,-18.187405,19.14195
9.95,-6.0229445,15.972944
9.37909,-5.7102213,15.089312
1.2549999,-4.722776,5.9777756
2.0,-25.908092,27.908092
2.7467763,-28.461103,31.20788
0.84179246,-12.286135,13.127927
1.5999999,-27.681824,29.281824
1.98125,-27.50907,29.49032
1.6474999,-24.409157,26.056656
1.2925,-24.146275,25.438774
1.2558334,-19.549425,20.805258
8.988334,-4.2838974,13.272231
1.5,-3.1782553,4.678255
1.523,-2.9961276,4.519128
2.0,-27.242508,29.242508
2.3226166,-28.531054,30.85367
0.9184,-12.966629,13.885029
1.74,-27.521862,29.261862
1.8071427,-27.361242,29.168385
2.1699998,-27.354479,29.524479
1.6358334,-24.261967,25.8978
1.2283334,-19.534962,20.763294
9.201667,-5.1146693,14.316336
1.4125,-3.9156914,5.3281913
2.0,-27.389662,29.389662
3.2616968,-29.021439,32.283134
9.4,-17.81947,27.21947
0.6955696,-11.43199,12.12756
1.9833333,-26.997593,28.980927
2.15,-24.289955,26.439955
1.645,-24.028969,25.67397
1.2183334,-18.904589,20.122923
9.39,-5.1516337,14.541634
8.989091,-4.845499,13.83459
2.49,-3.234389,5.724389
2.0,-27.062382,29.062382
3.470909,-29.30008,32.77099
0.9973831,-11.94358,12.940963
1.569091,-27.832375,29.401466
1.78,-25.054234,26.834234
1.4244444,-24.788612,26.213057
0.99916667,-19.573677,20.572844
8.381666,-5.768221,14.149887
1.4291667,-3.3589087,4.7880754
2.0,-28.1128,30.1128
2.5792127,-28.540016,31.119228
0.71472526,-12.305699,13.020425
1.800909,-26.816803,28.617712
1.5227273,-22.336628,23.859356
0.9425,-18.696268,19.638767
8.21,-6.5812535,14.791254
8.451667,-6.2870874,14.738754
1.4707692,-3.97776,5.4485292
2.0,-26.883858,28.883858
2.7394,-29.88972,32.62912
0.91028035,-12.921032,13.831312
2.8425,-27.164265,30.006765
2.4088888,-27.03109,29.43998
2.07,-23.496384,25.566383
2.3999999,-23.406973,25.806973
1.9485713,-23.245453,25.194025
4.59,-23.141922,27.731922
1.3433332,-19.10315,20.446484
7.9500003,-6.400771,14.350771
7.953,-6.1077642,14.060764
1.7008333,-4.784064,6.484897
2.0,-27.379198,29.379198
2.1808026,-30.286768,32.46757
10.599999,-19.71661,30.316608
0.84975904,-13.174749,14.024508
1.9266666,-28.47492,30.401587
1.5009999,-25.195122,26.696121
3.01,-24.776964,27.786964
1.0608333,-20.626015,21.686848
7.18,-6.670328,13.850328
8.448182,-6.377553,14.825735
4.9333334,-4.7791514,9.712484
2.0,-29.089891,31.089891
2.2813435,-26.707863,28.989206
0.7378261,-9.738964,10.47679
2.145,-25.795975,27.940975
1.2937499,-25.64268,26.93643
1.6783333,-21.854366,23.5327
0.73083335,-17.076733,17.807566
8.048889,-4.8270254,12.875915
7.44,-4.5444765,11.984476
1.17,-2.1650195,3.3350196
