Target,Output,Diff
0.65999997,1.1752135,-0.5152135
0.6983333,1.1708647,-0.47253138
0.96500003,1.6332726,-0.6682726
1.1999999,1.6291528,-0.42915285
1.4442856,2.037764,-0.59347844
1.358,1.9676596,-0.60965955
4.4040003,1.951838,2.4521623
3.6496491,2.2223668,1.4272823
1.7372727,3.398991,-1.6617184
1.78,3.3486848,-1.5686848
4.04625,1.797791,2.2484589
3.4672728,2.0620255,1.4052472
1.4471428,2.650538,-1.2033951
1.718,2.6462274,-0.9282273
1.4463637,2.0015912,-0.5552275
1.12,1.9973664,-0.8773664
1.6463636,2.12122,-0.4748565
1.4100001,2.1169953,-0.70699525
1.81,2.5063615,-0.69636154
1.6566668,2.5021844,-0.84551764
1.6275,2.8612523,-1.2337523
2.06375,2.8570561,-0.7933061
2.3533335,3.4464936,-1.0931602
2.021111,3.4424596,-1.4213486
1.4666666,2.6586251,-1.1919585
1.55,2.5255208,-0.97552085
1.9200001,4.1624074,-2.2424073
2.0066667,4.0384297,-2.031763
2.0757143,4.313212,-2.2374976
2.98,4.309302,-1.3293018
2.14,5.0649076,-2.9249074
2.362,5.061026,-2.699026
2.1033332,3.954802,-1.8514688
2.04,3.7469106,-1.7069106
2.135,3.8703732,-1.7353733
2.13,3.8664823,-1.7364821
1.5,3.821364,-2.321364
1.793,3.8175015,-2.0245016
2.004,2.8143506,-0.81035066
1.72,2.8104215,-1.0904214
2.31,2.729073,-0.4190731
1.72,2.7251916,-1.0051916
1.239,2.0256143,-0.7866143
1.29,2.2333817,-0.9433818
1.01,2.0217519,-1.0117519
1.6681819,2.2439103,-0.5757284
1.24,2.239819,-0.99981904
1.6141666,2.099009,-0.48484242
1.4499999,1.8472295,-0.39722955
1.4633334,1.8430619,-0.37972856
1.065,1.6265206,-0.5615206
1.1725,1.6223054,-0.44980538
0.6016667,1.3084131,-0.70674646
0.6122222,1.2229258,-0.6107036
0.67,1.2186915,-0.54869145
0.8366667,1.387549,-0.55088234
0.7966667,1.3834864,-0.5868197
0.9728572,1.3597207,-0.38686353
0.89199996,1.3555245,-0.46352458
0.9633333,1.6458135,-0.68248016
1.0066667,1.6415792,-0.6349125
0.727,1.4461619,-0.71916187
0.78000003,1.4418703,-0.6618703
0.9409091,1.2942606,-0.35335153
1.34,1.2900454,0.049954653
2.1629999,2.5291257,-0.36612582
2.22,2.5248914,-0.30489135
2.94,3.9713387,-1.0313387
