Target,Output,Diff
1.08,3.5836184,-2.5036182
1.19,3.5591507,-2.3691506
1.5999999,2.378589,-0.778589
0.684,8.473055,-7.789055
0.93,3.1572247,-2.2272246
2.0,5.3478374,-3.3478374
2.0,4.4046316,-2.4046316
1.285,3.7833548,-2.498355
1.71,3.6478543,-1.9378543
1.954,3.6466467,-1.6926467
1.61,3.6193979,-2.009398
2.5066667,2.7767801,-0.27011347
0.9462069,9.212623,-8.266416
1.5866667,3.839867,-2.2532005
1.1383333,6.756766,-5.6184325
3.0,5.652852,-2.652852
2.0,5.212573,-3.212573
1.6858333,3.1895661,-1.5037328
2.0741668,3.0913389,-1.0171721
3.1525002,2.5170553,0.6354449
0.56,7.2432413,-6.6832414
1.2138983,7.3120127,-6.0981145
2.4341667,3.9627385,-1.5285718
1.4366667,6.686604,-5.249937
5.0,5.3284144,-0.32841444
2.0,5.014174,-3.014174
4.3527193,6.040436,-1.6877165
3.2207825,5.605142,-2.3843596
4.867063,5.222994,-0.3559308
3.472544,12.9484825,-9.475939
2.01,6.881422,-4.871422
1.991111,6.8927574,-4.9016466
2.635,5.9665227,-3.3315227
4.235833,3.7692893,0.4665439
1.2977778,7.374356,-6.076578
1.6582353,7.452085,-5.79385
3.2141666,5.0134706,-1.799304
1.8066667,7.8198423,-6.0131755
7.0,7.040746,-0.040746212
2.0,9.7557535,-7.7557535
3.776,5.148658,-1.3726578
2.968421,4.4375634,-1.4691424
4.777973,3.5664093,1.2115638
3.7391665,10.748919,-7.0097523
1.8158333,5.9410977,-4.125264
1.69,5.759225,-4.069225
2.458,6.035365,-3.5773652
2.75,6.3890505,-3.6390505
3.5583332,5.1734886,-1.6151555
1.0166667,8.619774,-7.6031075
1.5096492,8.688194,-7.178545
2.6241665,4.8032417,-2.1790752
1.4203391,9.572723,-8.152384
5.0,8.4842005,-3.4842005
2.0,8.499887,-6.4998875
1.5966667,4.3126593,-2.7159925
2.12,4.2053056,-2.0853057
2.225,4.177867,-1.952867
1.58,4.1763163,-2.5963163
3.5225,3.2590437,0.26345634
1.3612499,9.583463,-8.222213
1.2836001,9.661935,-8.378335
2.8069232,4.349037,-1.542114
5.0,6.2871623,-1.2871623
2.0,5.7699513,-3.7699513
2.05,4.754571,-2.704571
2.2541666,4.80263,-2.5484633
3.6558332,3.4053206,0.2505126
1.6310345,9.354391,-7.7233567
2.9533334,4.6304617,-1.6771283
5.0,6.5979376,-1.5979376
2.0,5.6931105,-3.6931105
2.1866667,4.761792,-2.5751255
2.8224998,4.713374,-1.8908744
3.8125,3.396989,0.4155109
1.6221311,9.298078,-7.675946
3.3341668,4.0655994,-0.7314327
8.0,6.5317082,1.4682918
3.0,5.6371346,-2.6371346
2.3591666,4.7708964,-2.4117298
3.11,5.19267,-2.08267
3.82,4.507471,-0.68747115
1.7,9.947103,-8.247103
3.1608334,5.1517925,-1.9909592
6.0,6.819284,-0.81928396
5.0,5.508441,-0.508441
3.4225,5.672966,-2.250466
2.9325,5.82034,-2.8878403
4.2483335,5.246953,-0.99861956
1.9643333,11.071988,-9.107655
3.5808334,5.8128977,-2.2320642
6.0,7.5129867,-1.5129867
2.0,6.500407,-4.500407
2.118182,5.8266773,-3.7084954
2.499091,5.9381366,-3.4390457
2.06,5.927627,-3.8676271
3.009091,4.586567,-1.577476
1.580678,10.017711,-8.437033
2.5066667,5.028988,-2.5223212
4.0,6.878319,-2.8783188
2.0,5.438273,-3.438273
3.44,6.160568,-2.7205682
3.3481817,6.1336575,-2.7854757
1.6668333,10.308925,-8.642092
3.5525,5.88943,-2.33693
6.0,7.999878,-1.9998779
2.0,7.2531214,-5.2531214
3.4,6.016221,-2.616221
3.382857,6.0148787,-2.6320217
3.2624998,6.0131063,-2.7506065
1.9416666,10.353193,-8.411527
2.9651852,10.428133,-7.462948
4.3083334,5.580468,-1.2721348
7.0,8.377813,-1.3778133
2.0,7.5693154,-5.5693154
3.6750002,6.053673,-2.3786726
2.6061666,10.425215,-7.819048
4.181667,6.085581,-1.903914
9.0,8.448475,0.5515251
9.0,7.3132753,1.6867247
4.0245457,7.4648676,-3.440322
5.51,7.4525476,-1.9425473
2.42,14.038439,-11.618439
3.7233927,14.114925,-10.391533
3.7681818,6.680933,-2.9127512
9.0,12.811716,-3.811716
11.0,8.181272,2.8187284
2.8799999,5.8582616,-2.9782617
3.75,5.8305655,-2.0805655
2.1148334,10.608549,-8.493715
2.8141665,5.652519,-2.8383527
6.0,7.597722,-1.597722
11.0,6.25142,4.74858
2.7883334,6.1759377,-3.3876042
2.04,10.816763,-8.776763
1.8611865,10.72566,-8.864473
2.5741668,5.2729073,-2.6987405
5.0,8.115341,-3.1153412
9.0,7.066931,1.9330692
2.7975,6.30849,-3.51099
2.0083334,10.305622,-8.297289
2.8241668,5.3039217,-2.479755
