Target,Output,Diff
3.085,1.8729734,1.2120266
0.62333333,-0.2783394,0.9016727
0.63,-0.26460648,0.8946065
0.9891666,0.50456524,0.48460138
1.2914286,0.499506,0.79192257
1.2025,0.8703804,0.33211958
0.878,0.27296066,0.60503936
0.76857144,0.28857708,0.47999436
1.0,2.0095205,-1.0095205
4.2066665,2.788024,1.4186425
1.0645,0.15345573,0.91104424
1.3075,0.99693775,0.31056225
1.9791667,0.80789566,1.1712711
1.17,1.15273,0.017269969
1.4554546,1.1539364,0.3015182
1.22,0.7072544,0.5127456
1.411,0.7278538,0.68314624
2.0,2.6395702,-0.63957024
5.273333,3.8083982,1.4649348
1.7900001,0.46758652,1.3224136
1.421356,0.44978142,0.97157454
2.11,1.2031364,0.90686345
1.855,1.2152958,0.6397042
2.1808333,1.374383,0.80645037
1.9441667,1.496644,0.44752264
1.6400001,1.169033,0.47096705
1.6425,1.1849213,0.45757878
1.3699999,1.1775494,0.19245052
3.0,3.1592226,-0.1592226
2.857826,2.1806526,0.6771734
7.662931,3.5094929,4.153438
1.6864035,3.1045532,-1.4181497
5.929091,4.667797,1.2612939
6.48,4.6480036,1.8319964
1.8644828,0.72259426,1.1418885
1.5600001,0.76155186,0.7984482
2.315,1.0709667,1.2440333
2.9366665,1.7897654,1.1469011
2.5600002,1.6309309,0.9290693
2.47,2.4344587,0.035541296
2.0033333,2.4900723,-0.48673892
2.1425,2.3995066,-0.25700665
4.0,5.872431,-1.8724308
2.5744443,1.922617,0.65182734
7.678571,3.7152767,3.9632945
1.6812122,3.2975483,-1.6163361
6.1124997,4.431038,1.6814618
1.7251785,0.52700996,1.1981685
1.6725001,0.54970264,1.1227975
1.9183333,0.8554411,1.0628922
2.7966666,1.4835167,1.3131499
2.225,1.400094,0.8249059
2.112,1.4036179,0.7083821
1.6371429,2.5863934,-0.94925046
1.9,2.5314522,-0.6314522
3.0,6.072941,-3.0729408
5.6975,4.1985655,1.4989347
1.491,0.6559944,0.83500564
2.2146153,1.3953543,0.8192611
2.12,1.7407036,0.3792963
2.5416665,1.4247274,1.1169391
2.2381818,1.7448235,0.49335837
1.57,1.2493944,0.32060564
1.5672727,1.272049,0.2952237
3.0,3.308916,-0.3089161
5.5327272,3.6988783,1.833849
6.95,3.682866,3.2671337
1.4643334,0.5749607,0.8893727
2.225,1.4016724,0.82332754
2.5549998,1.378622,1.1763778
2.5983334,1.8336153,0.76471806
1.7055557,1.152072,0.5534837
1.62,1.1743164,0.4456836
3.0,3.098197,-0.09819698
5.6609087,4.3612766,1.2996321
7.11,4.343257,2.7667432
1.842069,0.66013336,1.1819357
1.865,0.679059,1.185941
2.3899999,1.4706516,0.91934824
2.8645456,1.5796995,1.2848461
2.385,1.8802166,0.5047834
1.7666667,1.2631845,0.5034821
2.0,1.2848759,0.71512413
3.0,3.189087,-0.18908691
6.003333,4.3024063,1.7009268
2.1537254,0.9490156,1.2047098
2.04,0.9310293,1.1089706
1.9583334,0.96846104,0.98987234
2.9641666,1.7839766,1.1801901
2.7408335,1.9456005,0.795233
2.4766667,2.172122,0.3045447
2.2716668,1.7764664,0.4952004
3.0,3.7658072,-0.76580715
7.070833,4.6248913,2.445942
2.667,1.5670633,1.0999367
4.1975,2.0254421,2.172058
3.5608335,2.2872782,1.2735553
2.7533336,2.4250364,0.32829714
3.3841667,2.3316574,1.0525093
4.0,4.45374,-0.45374012
4.8875003,2.9264832,1.9610171
2.6851785,1.2038183,1.4813602
1.9475,1.222868,0.724632
4.08,1.1025095,2.9774904
3.7254546,1.1128616,2.612593
2.7508333,1.3823795,1.3684537
2.3216667,1.4910603,0.83060646
2.7366667,1.6118097,1.124857
3.0,3.5848475,-0.58484745
5.9824996,3.6577082,2.3247914
3.0411863,1.4358091,1.6053772
1.7299999,1.4547157,0.27528417
3.02,1.5225935,1.4974065
3.2254548,1.5335703,1.6918845
3.3641667,1.9932413,1.3709254
2.9108334,2.3745346,0.53629875
6.21,2.7981997,3.4118004
3.7963638,2.8060055,0.99035835
5.0,4.870634,0.12936592
6.192,4.364972,1.8270278
7.955,4.3515015,3.6034985
3.4463334,2.1589756,1.2873578
3.8975,2.347803,1.5496969
4.54,3.1630707,1.3769293
3.6266665,2.2715807,1.3550858
3.19,3.1680202,0.021979809
4.5666666,3.2366896,1.329977
4.733333,3.2417917,1.4915414
6.0,5.5171013,0.4828987
7.038,4.84663,2.19137
9.150001,4.8381186,4.311882
7.29,4.922447,2.3675528
3.4795,2.6061916,0.8733084
4.1549997,2.631898,1.5231018
3.929,2.6497078,1.2792921
4.205,3.3200264,0.8849735
3.7816668,2.8378105,0.94385624
3.681111,3.3340073,0.34710383
3.38,3.3322525,0.047747612
5.26,4.0102577,1.2497425
4.76,4.0216875,0.7383127
6.0,6.2863445,-0.28634453
8.053333,5.6131887,2.4401445
4.206981,2.8192568,1.3877244
4.665,2.8062057,1.8587942
4.65,2.8398228,1.8101773
4.744167,2.8049183,1.9392486
27.361816,4.4575214,22.904295
3.6525,3.1380463,0.51445365
7.0533333,4.127736,2.9255972
5.725,4.1154003,1.6095996
6.0,6.5381813,-0.5381813
5.7366667,3.844862,1.8918047
2.6269493,1.9996452,0.6273041
2.5900002,2.0203447,0.5696554
10.9800005,2.7749205,8.20508
3.0609093,2.7945662,0.26634312
3.2316666,2.3739195,0.8577471
2.7616668,2.7292252,0.032441616
5.4108334,3.044219,2.3666143
4.0,5.2278376,-1.2278376
5.258333,3.3578873,1.9004459
2.2335,1.5382242,0.6952758
4.909167,2.7473116,2.1618552
2.8441668,2.0217037,0.82246304
2.3416667,2.4407816,-0.099114895
7.93,2.858138,5.0718617
4.6554546,2.8661585,1.7892962
4.0,5.0031424,-1.0031424
5.5616665,3.8209724,1.740694
2.4042857,1.5498972,0.8543885
2.1950002,1.5398645,0.65513563
2.3999999,1.5706921,0.8293078
4.2875,2.7920008,1.4954991
3.775,2.6470041,1.127996
2.5583334,2.6305628,-0.072229385
5.6400003,3.111105,2.5288954
5.528333,3.121953,2.4063802
6.0,5.234971,0.76502895
5.0358334,3.2091904,1.826643
2.2642593,1.0282421,1.2360172
1.5,1.0147953,0.4852047
2.6859999,1.0494089,1.636591
2.4783332,1.6610432,0.81729007
3.0375001,1.9801569,1.0573432
2.0033333,1.9185877,0.084745646
4.55,2.712965,1.8370352
4.643636,2.722659,1.9209771
5.0,4.996376,0.0036239624
4.1545453,2.2881317,1.8664136
1.4268333,0.57623386,0.8505994
2.887,1.4341831,1.452817
2.0,1.4374828,0.56251717
1.7,1.6779613,0.022038698
2.2376924,1.2158918,1.0218005
1.8118181,1.6840458,0.12777233
2.6245453,1.6633463,0.96119905
3.0,3.4236288,-0.4236288
4.3333335,2.8599834,1.47335
1.5564407,0.7706547,0.78578603
2.78,1.7109537,1.0690463
2.7341666,1.5783215,1.1558452
2.1783333,2.0785332,0.09980011
4.6,1.9410038,2.658996
2.2563636,1.9506407,0.30572295
2.0,3.8736153,-1.8736153
4.52,3.044982,1.475018
1.8466666,1.135602,0.7110646
2.3091667,1.7536545,0.5555122
2.345,1.9345093,0.41049075
2.4683335,1.7159414,0.75239205
2.075,1.9447517,0.13024831
2.7933333,1.8149757,0.97835755
2.3766665,1.824913,0.5517535
3.0,3.8292456,-0.82924557
4.0866666,2.8423882,1.2442784
1.7007142,0.8669472,0.83376706
1.3199999,0.88727,0.43272996
2.2508333,1.6366863,0.61414695
2.3475,1.8445444,0.5029557
1.8883333,2.0674133,-0.17908001
2.2041667,1.7245436,0.47962308
3.0,3.495288,-0.4952879
4.2508335,2.8954744,1.3553591
1.3533897,0.47762394,0.8757658
0.88,0.49704552,0.38295448
1.6333332,1.2364864,0.39684677
2.0416667,1.4516401,0.5900266
1.7766666,1.7639923,0.012674332
1.9325,1.4745235,0.45797646
3.0,3.2001162,-0.20011616
3.4033334,2.190361,1.2129724
0.79448277,0.14117718,0.6533056
1.1999999,0.16085148,1.0391484
1.57,0.78884125,0.7811588
1.5766667,0.82245827,0.75420845
1.1141667,0.89791775,0.21624899
2.0242856,0.84773064,1.1765549
1.362,0.85882187,0.5031781
2.0,2.607708,-0.607708
3.4466667,2.1452284,1.3014383
0.65,-0.112280846,0.7622808
0.8857627,-0.12372017,1.0094829
1.0376923,0.64358234,0.39410996
1.27,0.57181835,0.6981816
1.2333333,0.9000015,0.33333182
1.58,0.5251074,1.0548927
1.249,0.5390644,0.70993555
1.0,2.264986,-1.264986
3.6458335,2.1704006,1.4754329
0.9061667,0.06448746,0.8416792
0.99749994,0.5524111,0.44508886
1.1387501,0.56301594,0.57573414
1.17,0.76045513,0.40954483
1.465,0.49448013,0.9705199
1.1018182,0.76885223,0.33296597
0.96000004,0.5397749,0.42022514
1.27,0.54967403,0.72032595
1.02,0.54246426,0.47753572
1.0,2.3105383,-1.3105383
3.3736362,1.9246387,1.4489975
3.38,1.9077206,1.4722795
0.8160377,-0.18616676,1.0022044
0.68571424,-0.17632961,0.86204386
1.0899999,0.6615734,0.4284265
1.2891667,0.35743237,0.9317343
1.1591667,0.7380581,0.4211086
1.2233334,0.31996727,0.9033661
1.1,0.31158924,0.7884108
1.03,0.33014774,0.6998522
2.08,0.32188892,1.758111
1.0,2.1368647,-1.1368647
4.3191667,2.6021194,1.7170472
0.98684216,-0.16408443,1.1509266
0.755,-0.15434265,0.90934265
1.3,0.66658497,0.633415
1.9300001,0.89734554,1.0326545
1.8008333,0.6469631,1.1538702
1.265,0.906229,0.35877097
1.47,0.9054136,0.5645864
1.24,0.52806854,0.71193147
1.545,0.54602623,0.9989737
1.0,2.3040056,-1.3040056
3.8845456,2.162776,1.7217696
3.6399999,2.1469402,1.4930596
1.0481666,-0.04852295,1.0966896
1.1683334,0.6918812,0.47645223
1.5041667,0.4659605,1.0382062
1.1216667,0.9053421,0.21632457
1.379,0.554924,0.82407594
1.4300001,0.56979656,0.8602035
1.0,2.2610092,-1.2610092
3.9241667,2.234702,1.6894646
0.99666667,-0.06814003,1.0648067
3.0283332,1.003747,2.0245862
1.5225,0.4289055,1.0935946
1.2975,1.0382175,0.25928247
2.25,0.48367977,1.7663202
1.419091,0.4919529,0.9271381
1.0,2.1104765,-1.1104765
5.5483336,3.3973694,2.1509643
1.8101667,0.66550255,1.1446642
8.44,2.375021,6.0649786
2.934167,1.3281441,1.6060228
2.4099998,2.0279026,0.38209724
2.6550002,1.4073706,1.2476296
3.0,3.1312418,-0.1312418
9.610001,6.279011,3.3309898
3.9173584,1.9418192,1.9755392
3.6599998,1.9247103,1.7352896
2.716,1.961565,0.75443506
8.041667,3.6548138,4.386853
5.78,3.5343885,2.2456117
4.0191665,3.6748743,0.34429216
4.579167,3.0914545,1.4877124
6.0,5.154419,0.84558105
9.223333,6.2622786,2.9610548
3.6318967,2.2397041,1.3921926
4.42,2.2592068,2.1607933
7.8016667,3.883934,3.9177327
5.508333,3.5774183,1.9309149
4.0836363,3.6647892,0.41884708
3.98,3.6608315,0.31916857
5.39,3.472476,1.9175239
5.24,3.4825563,1.7574434
6.0,5.6510353,0.3489647
8.8209095,5.7698536,3.051056
7.83,5.7514286,2.0785713
4.2966666,2.540965,1.7557015
3.624,2.5608206,1.0631795
6.2025,3.7580347,2.4444652
5.488333,3.6189318,1.8694015
4.4674997,3.836875,0.6306248
3.8400002,2.9980755,0.84192467
6.0,5.041151,0.95884895
4.9727273,2.8177786,2.1549487
4.69,2.8188086,1.8711915
3.2957408,1.6500282,1.6457126
2.26,1.6703081,0.5896919
3.255,2.1784163,1.0765839
3.9608333,2.0047998,1.9560335
2.6499999,2.382841,0.26715875
3.65,1.9125557,1.7374444
3.229,1.9232941,1.305706
3.0,3.815937,-0.81593704
6.0775,1.9103861,4.167114
3.3500001,1.8946934,1.4553068
3.5299997,1.9283438,1.601656
1.9628813,0.45832634,1.504555
1.29,0.47808647,0.8119135
3.4333334,1.669054,1.7642794
1.53,1.3650465,0.16495347
3.0466666,1.0937881,1.9528785
1.738,1.3726187,0.36538136
1.76,1.3701916,0.38980842
2.19,1.3659668,0.82403326
2.6399999,1.3779593,1.2620406
2.0,3.28784,-1.2878399
5.1627274,2.0571613,3.105566
3.0500002,2.1284056,0.9215946
2.1660345,0.7226038,1.4434307
2.3700001,0.7422781,1.627722
1.9,1.1566067,0.7433933
2.413,1.167388,1.2456121
1.6500001,1.5388536,0.11114645
2.7399998,1.532731,1.2072687
2.6925,1.121769,1.5707312
2.02,1.5588331,0.46116686
1.22,1.258254,-0.038254023
2.8809092,1.268897,1.6120121
2.0,2.9656458,-0.9656458
9.3225,3.9865017,5.3359985
2.373585,1.5204191,0.85316586
2.052,1.506176,0.54582405
1.615,1.5409184,0.07408166
7.9400005,2.7233362,5.2166643
9.5654545,2.744608,6.8208466
13.673333,2.379117,11.294216
7.0033336,2.802763,4.2005706
2.8200002,2.0625591,0.75744104
5.1099997,2.0544481,3.0555515
2.0,3.9662552,-1.9662552
3.5949998,2.6863003,0.9086995
1.6368334,1.3192225,0.31761098
4.55,2.396822,2.1531782
2.814,2.4071789,0.406821
31.91111,3.5752583,28.335852
2.1816666,2.2784758,-0.09680915
2.2788887,1.9269133,0.35197544
1.4533334,1.9068193,-0.45348597
2.0,3.7796545,-1.7796545
3.5983334,1.6290188,1.9693146
2.4786665,0.5954313,1.8832352
4.170833,1.7688036,2.4020295
2.1933334,1.0648918,1.1284416
2.1283333,1.8574333,0.2709
3.0916667,1.290617,1.8010497
2.0,2.9897785,-0.9897785
5.7599998,1.907506,3.8524938
1.5348936,0.51344395,1.0214497
4.1823077,0.533967,3.6483407
6.58,1.4213705,5.1586294
3.3358333,1.4335823,1.902251
6.9645452,1.434555,5.52999
4.6708336,1.577692,3.0931416
1.95125,1.1580133,0.7932366
8.476,1.1686039,7.307396
3.0,2.8346634,0.16533661
4.87,2.4391747,2.4308252
1.2158182,0.01982212,1.195996
0.62,0.004220009,0.61578
1.2075,0.03991604,1.167584
1.9216667,0.93245983,0.9892069
3.0216668,0.75832367,2.263343
1.91,1.3103485,0.59965146
1.6433333,0.6555748,0.9877585
1.55,0.666275,0.8837249
2.0,2.3273087,-0.32730865
3.7191668,2.2299528,1.489214
1.6520339,0.34217358,1.3098603
2.01,0.36250114,1.6474988
2.138,0.9774351,1.1605649
1.68,0.9837198,0.6962801
6.1983337,1.1374712,5.0608625
1.9033334,1.391592,0.5117414
2.4433331,0.9617138,1.4816194
1.8333334,0.97120285,0.8621305
2.0,2.5819206,-0.5819206
3.4533334,1.9117737,1.5415597
1.3736666,0.43017864,0.943488
1.4308333,1.0532236,0.37760973
1.7108333,0.75864315,0.95219016
1.61,1.3187075,0.29129255
1.4527273,1.3142347,0.13849258
1.4812499,1.1575317,0.3237182
2.0475001,1.1682367,0.8792634
2.0,2.9457664,-0.94576645
3.9946153,2.3748684,1.6197469
1.6927868,0.73859215,0.95419466
2.1646154,1.3560009,0.8086145
1.5533334,1.6374159,-0.084082484
2.4875,1.3499784,1.1375215
1.885,1.6483212,0.23667884
2.08,1.3569641,0.7230358
1.7518182,1.3659191,0.38589907
2.0,3.198433,-1.1984329
4.826667,3.0332708,1.793396
1.6455555,0.49278736,1.1527681
1.04,0.52796364,0.5120363
1.7739999,0.511775,1.2622249
2.0991666,1.4455891,0.65357757
2.5758333,1.5712833,1.00455
2.1733334,1.9098902,0.26344323
2.22,1.2737083,0.9462917
2.1936364,1.2840796,0.90955687
2.0,3.0265856,-1.0265856
5.5299997,3.2913542,2.2386456
1.9794,0.6160021,1.363398
1.599,0.63562393,0.96337605
2.7858334,1.3333559,1.4524775
2.7291667,1.6390944,1.0900724
1.9983333,1.8251276,0.17320573
2.2741666,1.462512,0.81165457
2.0,3.2089138,-1.2089138
4.49,2.6538086,1.8361912
5.9500003,2.6373863,3.312614
1.4565217,0.22849083,1.2280309
1.1214285,0.24787903,0.87354946
2.4950001,1.0535431,1.441457
2.3733332,1.0422707,1.3310626
1.6816666,1.3096714,0.3719952
1.8700001,0.9054136,0.9645865
2.0375,0.9199381,1.1175618
1.0,2.7318048,-1.7318048
4.668333,2.865653,1.80268
1.1998333,0.2746153,0.925218
2.4766667,1.0027218,1.4739449
2.1508334,0.8981514,1.252682
1.5158333,1.1461306,0.3697027
1.5733333,0.86786747,0.7054658
2.162,0.8609772,1.3010228
1.7175,0.8725643,0.84493566
1.0,2.6735592,-1.6735592
4.3175,2.5510502,1.7664499
1.1185,0.14413834,0.97436166
2.8608334,0.92981815,1.9310153
1.8691666,0.5915928,1.2775738
1.6958333,1.1340189,0.5618144
1.9566667,0.7400894,1.2165773
1.9419999,0.73544025,1.2065597
1.815,0.74726105,1.067739
1.0,2.6512814,-1.6512814
0.99,1.5411472,-0.5511472
9.745946,4.364915,5.381031
0.93522936,3.9189816,-2.9837523
4.0191665,1.5989256,2.4202409
1.0219231,-0.7233286,1.7452517
1.22375,-0.69883347,1.9225835
2.42,-0.02178669,2.4417868
1.7016667,0.12946606,1.5722007
1.2841667,0.27926922,1.0048975
1.965,2.6768732,-0.7118732
1.39,2.7893257,-1.3993257
1.0,6.2007236,-5.2007236
1.1833333,1.4913893,-0.308056
9.472073,4.379244,5.0928288
0.6687156,4.012842,-3.3441267
3.7416668,1.519537,2.2221298
0.944,-0.6741762,1.6181762
1.082,-0.65113544,1.7331355
2.4283333,0.14671326,2.28162
1.6316667,0.11631489,1.5153518
1.97,0.41748524,1.5525148
1.4181818,0.4098606,1.0083212
1.8033333,2.801056,-0.9977226
1.71,2.7202177,-1.0102177
1.0,6.1358356,-5.1358356
0.95123816,1.4058495,-0.4546113
9.090566,4.0457582,5.0448074
0.56271845,3.7215805,-3.158862
4.2381816,1.5794516,2.65873
3.7,1.517334,2.182666
1.1740384,-0.60679436,1.7808328
1.225,-0.6023264,1.8273264
1.8558334,-0.17247677,2.0283103
0.81,0.19418716,0.61581284
2.0391667,0.17742157,1.8617451
1.3563635,0.20980835,1.1465552
1.7366667,2.5543356,-0.8176689
1.6233335,2.666235,-1.0429015
1.0,5.9100056,-4.9100056
1.3034999,1.9452333,-0.6417334
9.02549,3.718791,5.306699
0.73370004,3.3992052,-2.6655052
4.0408335,1.7413807,2.2994528
1.110339,-0.52001953,1.6303586
1.12,-0.47860622,1.5986062
2.9025002,0.16590595,2.7365942
1.7649999,0.27326107,1.4917388
1.5766667,0.5024195,1.0742472
1.3699999,2.195754,-0.82575417
1.8840001,2.0425463,-0.15854621
1.3216667,2.1335888,-0.8119221
1.0,5.41461,-4.41461
2.347375,2.2269106,0.120464325
9.085185,5.365019,3.7201662
0.9774074,5.094738,-4.1173306
4.5054545,2.0681143,2.4373403
1.6359322,-0.2713585,1.9072907
1.26,-0.28118134,1.5411813
2.75,0.8929062,1.8570938
3.310909,0.8886862,2.4222229
2.0218182,0.60646534,1.4153528
1.8325,0.8615923,0.9709077
1.8616667,4.076028,-2.2143612
2.0,7.6700354,-5.6700354
1.8072476,1.9349861,-0.12773848
9.218519,4.3271255,4.8913937
0.9248624,4.0001535,-3.0752912
3.5049999,1.4871168,2.017883
1.1761404,-0.6730509,1.8491913
0.775,-0.6641722,1.4391721
0.83,-0.62758446,1.4575844
2.4824998,0.51297665,1.9695232
2.1933334,0.40819168,1.7851417
1.2533333,0.60789585,0.6454375
1.015,2.620082,-1.6050819
1.23375,2.5419188,-1.3081688
2.0,5.876384,-3.8763838
1.0347778,2.3610687,-1.326291
10.266666,5.1257086,5.140958
1.1456667,4.8777485,-3.732082
3.5383334,1.946497,1.5918365
1.3905001,0.18143177,1.2090683
