Target,Output,Diff
0.65999997,1.213228,-0.553228
2.1033332,4.8082647,-2.7049315
1.34,1.6102655,-0.27026546
1.3349999,2.281232,-0.9462322
1.5309091,2.7304962,-1.1995871
1.361,2.4723318,-1.1113318
1.54,2.9829218,-1.4429219
1.31,2.772767,-1.4627671
2.7585716,3.9606926,-1.202121
1.0704718,1.2132715,-0.14279974
2.01,3.941754,-1.9317541
28.738335,3.9053512,24.832983
2.3055556,3.72651,-1.4209545
2.06,4.6789556,-2.6189556
2.4471428,5.3519325,-2.9047897
2.46,4.802951,-2.3429508
3.195,4.4419646,-1.2469647
3.4516666,7.010951,-3.5592844
7.8875,10.906981,-3.0194817
4.66,7.1540456,-2.4940457
6.6257143,10.491332,-3.8656178
6.6900005,9.632819,-2.9428186
5.9069996,8.005715,-2.0987158
7.1241665,11.471128,-4.346962
5.2414083,6.296725,-1.0553164
5.4288073,5.9873247,-0.55851746
9.396667,13.067854,-3.6711874
7.9964547,12.1843,-4.1878457
9.043391,10.815397,-1.772006
5.4935293,7.9465523,-2.453023
9.625455,13.32975,-3.7042952
12.24,17.627304,-5.3873043
4.427281,6.8227053,-2.3954244
3.3402655,4.3074265,-0.96716094
4.510109,5.6298723,-1.1197634
2.399009,3.0546987,-0.6556897
0.8385714,5.9382486,-5.099677
1.665,7.370849,-5.705849
5.097478,7.6819043,-2.5844264
3.6178946,5.499144,-1.8812494
8.04,15.930282,-7.8902817
12.75,15.77406,-3.0240602
20.846216,14.207997,6.638219
21.961802,22.197685,-0.23588371
32.365753,22.515362,9.850391
16.053751,19.95016,-3.896408
7.0016665,9.731066,-2.7293992
10.886389,10.032326,0.85406303
3.679913,7.012868,-3.332955
10.9566,11.150185,-0.19358444
9.079166,13.043523,-3.9643564
6.0115385,9.52889,-3.5173512
5.772,9.087406,-3.3154063
8.059999,11.9242525,-3.864253
3.381593,7.2442503,-3.8626573
5.9733334,8.5919695,-2.6186361
7.655098,7.57911,0.075987816
6.5704346,8.115866,-1.5454311
10.966814,13.771318,-2.8045044
4.9472566,6.714756,-1.7674994
9.980172,10.665676,-0.68550396
5.395455,8.965769,-3.570314
11.155,17.378075,-6.223075
6.7286205,9.732322,-3.0037012
11.439091,14.124266,-2.685175
3.205,6.210019,-3.0050192
20.669998,12.139303,8.530695
24.702,21.069153,3.6328468
5.1177588,6.918504,-1.8007455
1.2737392,2.4120367,-1.1382974
2.650263,3.2292178,-0.5789547
3.672261,4.796752,-1.124491
3.2872808,5.245305,-1.9580243
70.09,16.163017,53.92698
5.2544,6.488825,-1.2344251
6.1180873,9.314623,-3.1965356
9.759311,7.991738,1.7675729
2.96,5.3290787,-2.3690786
5.0212502,8.425254,-3.4040036
5.701826,6.22244,-0.5206137
2.3347826,4.457695,-2.1229124
7.580513,6.864254,0.716259
2.4266667,4.7937074,-2.3670406
8.675,4.6594257,4.0155745
3.909826,6.191906,-2.28208
0.9348387,2.0104675,-1.0756288
3.5544443,4.29992,-0.74547577
2.2466667,4.111105,-1.8644383
4.077,6.4228845,-2.3458843
7.875,9.076811,-1.2018108
5.92,10.04928,-4.12928
7.4156523,8.811264,-1.3956118
10.231667,13.590309,-3.3586426
26.206667,10.261467,15.9452
10.110001,12.399951,-2.2899504
2.73,4.989315,-2.259315
26.59,11.730692,14.859308
6.3700004,5.3516083,1.0183921
22.25,2.8772376,19.372763
5.8999996,6.532337,-0.63233757
4.4575,5.8215914,-1.3640914
4.2572727,5.249755,-0.9924822
4.366,6.7058115,-2.3398113
14.967777,19.648567,-4.68079
3.6616669,7.039146,-3.377479
4.4698277,7.9403477,-3.47052
11.051666,5.5480523,5.503614
2.7399998,6.18422,-3.44422
11.604546,18.396767,-6.792221
3.1299999,6.9892745,-3.8592746
8.305,5.8704276,2.4345727
2.9385715,6.2044625,-3.265891
23.057499,6.6389203,16.41858
2.5024211,4.534833,-2.0324118
3.8108695,6.089307,-2.2784374
21.300001,6.2623396,15.037662
15.0,3.838573,11.161427
3.7353446,5.192257,-1.4569123
2.59875,5.8820434,-3.2832932
2.3333333,3.1971831,-0.8638499
1.01,5.8551526,-4.845153
33.643333,14.0982685,19.545065
4.077273,6.029096,-1.9518232
7.188572,12.235833,-5.047261
9.627,14.806253,-5.1792536
15.1025,20.090714,-4.9882135
11.648999,15.468199,-3.8191996
16.4,23.662693,-7.2626934
7.76,11.898766,-4.1387653
10.702,15.051445,-4.3494453
17.214571,18.899632,-1.6850605
14.921666,17.950212,-3.0285463
0.033333335,12.647036,-12.613702
0.044999998,11.773321,-11.728321
0.060000002,11.384191,-11.32419
0.061666667,7.49219,-7.4305234
0.030000001,4.120498,-4.090498
0.018888889,9.758742,-9.739854
0.052727275,13.198227,-13.145499
0.028571429,11.9172325,-11.888661
0.040000003,10.235203,-10.195203
5.7192707,5.2433395,0.47593117
0.07222222,13.197649,-13.125427
0.049999997,14.074025,-14.024025
0.09166666,12.466229,-12.374563
0.053333335,16.307423,-16.25409
0.11,14.92158,-14.811581
0.08285715,6.0478725,-5.9650154
0.07875,11.555343,-11.476593
0.0725,18.766928,-18.694427
0.14999999,22.721718,-22.571718
0.132,12.317869,-12.185869
0.07,12.462243,-12.392243
0.030000001,8.785122,-8.755122
0.10875,13.815007,-13.706257
0.058749996,15.845088,-15.786338
0.024999999,15.337738,-15.312738
0.060000002,15.62111,-15.56111
0.0525,13.292542,-13.240043
0.080000006,9.799569,-9.719569
0.052,4.6407905,-4.5887904
0.125,3.8285944,-3.7035944
0.14,6.412771,-6.2727714
0.0725,4.0575905,-3.9850905
0.1075,9.76062,-9.65312
0.10166667,9.695507,-9.593841
0.035,8.09614,-8.06114
0.09833333,3.676618,-3.5782847
0.083333336,15.179559,-15.096226
0.085454546,5.2904387,-5.204984
0.11,4.276544,-4.166544
0.125,8.9205475,-8.7955475
0.135,11.668454,-11.533454
0.120000005,23.31773,-23.19773
0.13444445,17.817043,-17.682598
0.19,22.760336,-22.570335
0.19333333,24.692457,-24.499125
0.15083334,18.331303,-18.18047
0.12625,9.904427,-9.778176
0.13714285,11.192018,-11.054874
0.17285714,8.093506,-7.9206486
0.119,5.733425,-5.614425
0.1375,11.964954,-11.827455
0.13909091,11.170851,-11.03176
0.16583332,19.652327,-19.486494
0.12625,31.195076,-31.068827
0.12444444,19.392195,-19.26775
0.10888889,26.765863,-26.656975
0.11,9.147795,-9.037795
0.06666667,9.900453,-9.833786
0.14,7.6683464,-7.5283465
0.121999994,3.1414793,-3.0194793
0.23333333,8.674835,-8.441502
0.135,5.857581,-5.722581
0.22,13.035922,-12.815922
0.17000002,17.53473,-17.36473
0.14625,21.37047,-21.22422
0.120000005,18.815817,-18.695816
0.16727272,12.68434,-12.517067
0.1075,26.061409,-25.953909
0.135,12.568971,-12.43397
0.13666667,38.41973,-38.283066
0.10555555,11.496736,-11.39118
0.14,19.43932,-19.29932
0.09166666,5.729573,-5.637906
0.175,7.3128166,-7.1378164
0.120909095,3.1760507,-3.0551414
0.16499999,1.9071462,-1.7421463
0.1957143,7.2619624,-7.066248
0.12666667,8.032537,-7.905871
0.18333332,9.224336,-9.041002
0.18583333,5.180605,-4.9947715
0.17750001,27.004002,-26.826502
0.19,21.783089,-21.593088
0.19500001,9.111061,-8.916061
0.216,13.513164,-13.297164
0.21166667,21.14578,-20.934114
0.25599998,21.29602,-21.04002
0.21400002,40.112934,-39.898933
0.19666666,45.018707,-44.82204
0.11777778,19.384483,-19.266706
0.11,15.194517,-15.0845175
0.14333333,16.153961,-16.010628
0.17142856,18.453356,-18.281927
0.175,24.066734,-23.891735
0.16833334,29.965012,-29.796679
16.970417,10.94881,6.0216074
16.37646,10.938063,5.4383965
0.18454546,15.860155,-15.67561
9.753061,9.325504,0.427557
0.15799999,13.387971,-13.229971
0.19166666,16.437496,-16.245829
0.1825,22.85585,-22.67335
0.19999999,26.767181,-26.56718
0.12555556,12.51774,-12.392184
0.17000002,9.988841,-9.818841
42.248886,15.6359215,26.612965
0.188,16.038836,-15.850836
0.21125,16.199852,-15.988602
0.16666667,10.884982,-10.718315
8.754615,6.0367107,2.717904
0.23375002,12.028826,-11.795075
