Target,Output,Diff
3.085,1.4217232,1.6632768
0.62333333,1.4070315,-0.7836982
0.63,1.4086266,-0.77862656
0.9891666,1.2908322,-0.30166554
1.2914286,1.3385456,-0.047116995
1.2025,1.5672117,-0.36471176
0.878,1.2409948,-0.3629948
0.76857144,1.2418896,-0.47331816
1.0,1.2418896,-0.2418896
4.2066665,2.1530983,2.0535681
1.0645,2.0901444,-1.0256444
1.3075,1.9692813,-0.6617813
1.9791667,1.9772532,0.0019135475
1.17,2.576598,-1.406598
1.4554546,2.5642202,-1.1087656
1.22,2.330763,-1.1107631
1.411,2.3336158,-0.92261577
2.0,2.3336158,-0.33361578
5.273333,2.4181912,2.8551419
1.7900001,2.4869246,-0.69692457
1.421356,2.4852326,-1.0638766
2.11,2.3270338,-0.21703386
1.855,2.3273184,-0.4723184
2.1808333,2.058141,0.12269235
1.9441667,3.041975,-1.0978084
1.6400001,2.1931655,-0.55316544
1.6425,2.19417,-0.55166996
1.3699999,2.2055302,-0.8355303
3.0,2.19417,0.80583
2.857826,3.4120631,-0.5542371
7.662931,3.4045053,4.2584257
1.6864035,3.4068255,-1.720422
5.929091,3.3492951,2.5797958
6.48,3.3527496,3.1272504
1.8644828,3.5201337,-1.655651
1.5600001,3.5210643,-1.9610642
2.315,3.148731,-0.83373094
2.9366665,2.9730754,-0.0364089
2.5600002,4.155041,-1.595041
2.47,3.3288362,-0.8588362
2.0033333,3.3397183,-1.336385
2.1425,3.3283348,-1.1858349
4.0,3.3283348,0.6716652
2.5744443,3.0864716,-0.51202726
7.678571,3.069387,4.6091843
1.6812122,3.0730505,-1.3918383
6.1124997,2.8555908,3.256909
1.7251785,3.0786138,-1.3534353
1.6725001,3.0788903,-1.4063902
1.9183333,2.7243485,-0.80601525
2.7966666,2.4924417,0.30422497
2.225,3.2770708,-1.0520709
2.112,3.2534747,-1.1414747
1.6371429,2.98615,-1.3490071
1.9,2.9852738,-1.0852739
3.0,2.9852738,0.014726162
5.6975,2.6090713,3.088429
1.491,2.6133263,-1.1223263
2.2146153,2.464241,-0.24962568
2.12,3.3303034,-1.2103035
2.5416665,2.393413,0.14825344
2.2381818,3.3444488,-1.106267
1.57,2.517499,-0.9474989
1.5672727,2.5192466,-0.9519739
3.0,2.5192466,0.48075342
5.5327272,2.9362762,2.596451
6.95,2.9373374,4.0126624
1.4643334,2.907514,-1.4431807
2.225,2.7148795,-0.4898796
2.5549998,2.8636665,-0.3086667
2.5983334,3.5641613,-0.96582794
1.7055557,2.6955986,-0.9900429
1.62,2.697523,-1.0775231
3.0,2.697523,0.30247688
5.6609087,3.5817683,2.0791404
7.11,3.5849457,3.5250545
1.842069,3.612351,-1.7702819
1.865,3.6199882,-1.7549882
2.3899999,3.3088849,-0.918885
2.8645456,3.4557338,-0.5911882
2.385,4.4282837,-2.0432837
1.7666667,2.903589,-1.1369224
2.0,2.9053292,-0.9053292
3.0,2.9053292,0.09467077
6.003333,3.66819,2.335143
2.1537254,3.6829903,-1.5292649
2.04,3.679326,-1.6393261
1.9583334,3.6878598,-1.7295264
2.9641666,3.4334092,-0.46924257
2.7408335,3.4501004,-0.7092669
2.4766667,4.1318407,-1.655174
2.2716668,3.2546325,-0.9829657
3.0,3.2546325,-0.25463247
7.070833,3.9022863,3.168547
2.667,3.885344,-1.218344
4.1975,3.687119,0.5103812
3.5608335,3.6480412,-0.087207794
