Target,Output,Diff
1.08,1.7130172,-0.6330172
1.19,1.7130172,-0.52301717
1.5999999,1.7130172,-0.11301732
0.684,1.7130172,-1.0290172
0.93,1.7130172,-0.7830172
2.0,3.825266,-1.8252659
2.0,3.825266,-1.8252659
1.285,1.7130172,-0.42801726
1.71,1.7130172,-0.0030171871
1.954,1.7130172,0.24098277
1.61,1.7130172,-0.10301721
2.5066667,1.7130172,0.79364944
0.9462069,1.7130172,-0.7668103
1.5866667,1.7130202,-0.1263535
1.1383333,3.825266,-2.6869326
3.0,3.825266,-0.8252659
2.0,3.825266,-1.8252659
1.6858333,1.7130172,-0.02718389
2.0741668,1.7130172,0.36114955
3.1525002,1.7130172,1.4394829
0.56,1.7130172,-1.1530173
1.2138983,1.7130172,-0.49911892
2.4341667,1.7130202,0.72114646
1.4366667,3.825266,-2.3885992
5.0,3.825266,1.1747341
2.0,3.825266,-1.8252659
4.3527193,-0.38979143,4.742511
3.2207825,-0.38979143,3.610574
4.867063,-0.38979143,5.2568545
3.472544,-0.38979173,3.8623357
2.01,1.7130172,0.29698277
1.991111,1.7130172,0.2780938
2.635,1.7130172,0.92198277
4.235833,1.7130172,2.522816
1.2977778,1.7130172,-0.41523945
1.6582353,1.7130172,-0.054781914
3.2141666,1.7130172,1.5011494
1.8066667,3.825266,-2.018599
7.0,3.825266,3.174734
2.0,3.825266,-1.8252659
3.776,-0.38979143,4.1657915
2.968421,-0.38979143,3.3582125
4.777973,-0.38979143,5.1677647
3.7391665,-0.38979143,4.1289577
1.8158333,1.7130172,0.102816105
1.69,1.7130172,-0.023017168
2.458,1.7130172,0.7449827
2.75,1.7130172,1.0369828
3.5583332,1.7130172,1.8453159
1.0166667,1.7130172,-0.6963506
1.5096492,1.7130172,-0.20336807
2.6241665,1.7130172,0.91114926
1.4203391,3.825266,-2.4049268
5.0,3.825266,1.1747341
2.0,3.825266,-1.8252659
1.5966667,1.7130172,-0.11635053
2.12,1.7130172,0.40698266
2.225,1.7130172,0.5119827
1.58,1.7130172,-0.13301718
3.5225,1.7130172,1.8094828
1.3612499,1.7130172,-0.3517673
1.2836001,1.7130172,-0.42941713
2.8069232,1.7130202,1.093903
5.0,3.825266,1.1747341
2.0,3.825266,-1.8252659
2.05,1.7130172,0.33698273
2.2541666,1.7130172,0.5411494
3.6558332,1.7130172,1.942816
1.6310345,1.7130172,-0.08198273
2.9533334,1.7130172,1.2403162
5.0,3.825266,1.1747341
2.0,3.825266,-1.8252659
2.1866667,1.7130172,0.4736495
2.8224998,1.7130172,1.1094825
3.8125,1.7130172,2.0994828
1.6221311,1.7130172,-0.090886116
3.3341668,1.7130172,1.6211495
8.0,3.825266,4.174734
3.0,3.825266,-0.8252659
2.3591666,1.7130172,0.6461494
3.11,1.7130172,1.3969827
3.82,1.7130172,2.1069827
1.7,1.7130172,-0.013017178
3.1608334,1.7130172,1.4478161
6.0,3.825266,2.174734
5.0,3.825266,1.1747341
3.4225,1.7130172,1.7094827
2.9325,1.7130172,1.2194827
4.2483335,1.7130172,2.5353162
1.9643333,1.7130172,0.25131607
3.5808334,1.7130172,1.8678162
6.0,3.825266,2.174734
2.0,3.825266,-1.8252659
2.118182,1.7130172,0.40516472
2.499091,1.7130172,0.7860737
2.06,1.7130172,0.34698272
3.009091,1.7130172,1.2960737
1.580678,1.7130172,-0.13233924
2.5066667,1.7130202,0.79364645
4.0,3.825266,0.17473412
2.0,3.825266,-1.8252659
3.44,1.7130172,1.7269828
3.3481817,1.7130172,1.6351645
1.6668333,1.7130172,-0.046183944
3.5525,1.7130202,1.8394798
6.0,3.825266,2.174734
2.0,3.825266,-1.8252659
3.4,1.7130172,1.6869829
3.382857,1.7130172,1.6698399
3.2624998,1.7130172,1.5494826
1.9416666,1.7130172,0.22864938
2.9651852,1.7130172,1.2521679
4.3083334,1.7130202,2.595313
7.0,3.825266,3.174734
2.0,3.825266,-1.8252659
3.6750002,1.7130172,1.961983
2.6061666,1.7130172,0.8931494
4.181667,1.7130202,2.4686465
9.0,3.825266,5.174734
9.0,3.825266,5.174734
4.0245457,1.7130172,2.3115284
5.51,1.7130172,3.796983
2.42,1.7130172,0.70698285
3.7233927,1.7130172,2.0103755
3.7681818,1.7130202,2.0551615
9.0,3.825266,5.174734
