Target,Output,Diff
3.085,9.75897,-6.67397
0.62333333,9.75897,-9.135637
0.63,9.75897,-9.12897
0.9891666,9.75897,-8.769804
1.2914286,9.75897,-8.467542
1.2025,9.75897,-8.55647
0.878,9.75897,-8.88097
0.76857144,9.75897,-8.990398
1.0,12.953871,-11.953871
4.2066665,9.75897,-5.552304
1.0645,9.75897,-8.69447
1.3075,9.75897,-8.45147
1.9791667,9.75897,-7.7798033
1.17,9.75897,-8.58897
1.4554546,9.75897,-8.303515
1.22,9.75897,-8.53897
1.411,9.75897,-8.34797
2.0,12.953871,-10.953871
5.273333,9.75897,-4.485637
1.7900001,9.75897,-7.9689703
1.421356,9.75897,-8.337614
2.11,9.75897,-7.6489706
1.855,9.75897,-7.9039702
2.1808333,9.75897,-7.578137
1.9441667,9.75897,-7.8148036
1.6400001,9.75897,-8.11897
1.6425,9.75897,-8.11647
1.3699999,9.75897,-8.38897
3.0,12.953871,-9.953871
2.857826,8.801356,-5.94353
7.662931,8.801356,-1.1384254
1.6864035,8.801356,-7.114953
5.929091,9.75897,-3.8298793
6.48,9.75897,-3.2789702
1.8644828,9.75897,-7.8944874
1.5600001,9.75897,-8.19897
2.315,9.756532,-7.4415317
2.9366665,9.75897,-6.822304
2.5600002,9.75897,-7.19897
2.47,9.75897,-7.28897
2.0033333,9.75897,-7.755637
2.1425,9.75897,-7.6164703
4.0,12.953871,-8.953871
2.5744443,8.801356,-6.226912
7.678571,8.801356,-1.1227851
1.6812122,8.801356,-7.120144
6.1124997,9.75897,-3.6464705
1.7251785,9.75897,-8.033792
1.6725001,9.75897,-8.08647
1.9183333,9.756405,-7.838072
2.7966666,9.75897,-6.9623036
2.225,9.75897,-7.5339704
2.112,9.75897,-7.6469703
1.6371429,9.75897,-8.121827
1.9,9.75897,-7.85897
3.0,12.953871,-9.953871
5.6975,9.75897,-4.06147
1.491,9.75897,-8.26797
2.2146153,9.75897,-7.544355
2.12,9.75897,-7.6389704
2.5416665,9.75897,-7.2173038
2.2381818,9.75897,-7.520788
1.57,9.75897,-8.188971
1.5672727,9.75897,-8.191698
3.0,12.953871,-9.953871
5.5327272,9.75897,-4.226243
6.95,9.75897,-2.8089705
1.4643334,9.75897,-8.294637
2.225,9.75897,-7.5339704
2.5549998,9.75897,-7.2039704
2.5983334,9.75897,-7.160637
1.7055557,9.75897,-8.053414
1.62,9.75897,-8.13897
3.0,12.953871,-9.953871
5.6609087,9.75897,-4.0980616
7.11,9.75897,-2.6489701
1.842069,9.75897,-7.916901
