Target,Output,Diff
0.94916666,10.579245,-9.630078
1.0071429,10.579245,-9.572102
0.928,10.579245,-9.651245
0.6966667,10.579245,-9.882578
7.701667,10.579245,-2.8775778
0.97999996,10.579245,-9.599245
2.0,14.232843,-12.232843
1.8425,10.579245,-8.736745
1.4112499,10.579245,-9.1679945
1.2766666,10.579245,-9.302578
1.551111,10.579245,-9.028133
1.05,10.5792465,-9.529246
9.52,10.5792465,-1.0592461
9.213333,10.5792465,-1.3659134
8.14,10.5792465,-2.4392462
1.0928571,10.5792465,-9.486389
1.654,10.5792465,-8.925246
2.0,14.232844,-12.232844
1.465,10.579245,-9.114244
2.071,10.5792465,-8.508246
2.2325,10.579245,-8.346745
1.89,10.579245,-8.689244
2.0666666,10.579245,-8.512578
1.5108334,10.5792465,-9.068413
9.6975,10.5792465,-0.8817463
9.67125,10.5792465,-0.9079962
1.8050001,10.5792465,-8.774246
1.65625,10.5792465,-8.9229965
2.0,14.232844,-12.232844
3.920766,8.988636,-5.06787
1.9778448,8.988637,-7.0107923
2.77,10.579245,-7.8092446
2.5662498,10.579245,-8.012995
2.9699998,10.579245,-7.609245
3.067143,10.579245,-7.5121017
2.952,10.579245,-7.627245
2.08,10.579245,-8.499245
10.416666,10.5792465,-0.16258049
10.52,10.5792465,-0.059246063
2.2966666,10.5792465,-8.282579
2.0,14.232843,-12.232843
3.84861,8.988636,-5.140026
1.7155001,8.988637,-7.273137
2.1491666,10.579245,-8.4300785
2.3483334,10.579245,-8.230911
1.5825,10.579245,-8.996744
10.330833,10.5792465,-0.24841309
2.035,10.5792465,-8.544247
2.0,14.232843,-12.232843
2.3274999,10.579245,-8.251745
2.362857,10.579245,-8.216388
2.0255556,10.579245,-8.553689
1.9300001,10.579245,-8.649244
1.5691667,10.5792465,-9.01008
9.89,10.5792465,-0.6892462
9.976364,10.5792465,-0.6028824
1.9300001,10.5792465,-8.649246
2.008,10.5792465,-8.571247
2.0,14.232844,-12.232844
2.3033333,10.579245,-8.275911
2.93,10.579245,-7.6492443
2.7,10.579245,-7.879245
2.6116667,10.579245,-7.967578
2.0416667,10.579245,-8.537578
9.75,10.579245,-0.8292446
2.3541667,10.579245,-8.225078
2.0,14.232843,-12.232843
