Target,Output,Diff
3.085,2.5456333,0.5393667
0.62333333,2.0427756,-1.4194423
0.63,2.0826793,-1.4526793
0.9891666,1.8538079,-0.8646413
1.2914286,2.0883071,-0.7968786
1.2025,1.3897779,-0.18727791
0.878,1.6312456,-0.7532456
0.76857144,1.5936875,-0.8251161
1.0,1.5685672,-0.56856716
4.2066665,3.2089865,0.99767995
1.0645,2.780297,-1.7157971
1.3075,2.680558,-1.373058
1.9791667,2.8575802,-0.87841344
1.17,2.2499142,-1.0799142
1.4554546,2.3166225,-0.8611679
1.22,2.4722152,-1.2522151
1.411,2.498794,-1.0877941
2.0,2.4789305,-0.47893047
5.273333,2.9181383,2.3551948
1.7900001,2.6257513,-0.8357512
1.421356,2.6481154,-1.2267594
2.11,2.6147342,-0.5047343
1.855,2.6461263,-0.79112625
2.1808333,2.5302267,-0.34939337
1.9441667,2.3700402,-0.42587352
1.6400001,2.2481596,-0.60815954
1.6425,2.2688544,-0.62635434
1.3699999,2.1577578,-0.7877579
3.0,2.2434382,0.75656176
2.857826,2.4310617,0.42676425
7.662931,2.4706821,5.192249
1.6864035,2.4539316,-0.76752806
5.929091,3.1932564,2.7358346
6.48,3.1586347,3.3213654
1.8644828,2.8537154,-0.98923266
1.5600001,2.8870034,-1.3270034
2.315,2.770631,-0.45563102
2.9366665,2.6858246,0.25084186
2.5600002,2.4015331,0.15846705
2.47,2.370646,0.09935403
2.0033333,2.2999673,-0.29663396
2.1425,2.3927248,-0.25022483
4.0,2.3639405,1.6360595
2.5744443,2.0848198,0.4896245
7.678571,2.1394782,5.539093
1.6812122,2.1092734,-0.42806125
6.1124997,3.0098176,3.102682
1.7251785,2.5732856,-0.8481071
1.6725001,2.5152392,-0.8427391
1.9183333,2.4045303,-0.486197
2.7966666,2.3928235,0.40384316
2.225,1.9963062,0.22869372
2.112,2.083285,0.028714895
1.6371429,2.0783372,-0.4411943
1.9,2.117128,-0.21712792
3.0,2.08344,0.91655993
5.6975,3.1680126,2.5294876
1.491,2.93247,-1.44147
2.2146153,2.8956082,-0.68099284
2.12,2.6614633,-0.5414634
2.5416665,2.8523068,-0.31064034
2.2381818,2.6851606,-0.4469788
1.57,2.547078,-0.97707784
1.5672727,2.6189115,-1.0516388
3.0,2.6034951,0.39650488
5.5327272,3.0901668,2.4425604
6.95,3.0600808,3.889919
1.4643334,2.6652157,-1.2008823
2.225,2.6059234,-0.3809235
2.5549998,2.721551,-0.16655111
2.5983334,2.1262994,0.47203398
1.7055557,2.3398657,-0.63431
1.62,2.3403273,-0.72032726
3.0,2.3276997,0.67230034
5.6609087,3.375832,2.2850766
7.11,3.3407626,3.7692375
1.842069,3.0009701,-1.1589011
1.865,3.020276,-1.1552761
2.3899999,2.8900483,-0.5000484
2.8645456,3.0337415,-0.16919589
2.385,2.4741259,-0.08912587
1.7666667,2.6968002,-0.9301336
2.0,2.6754167,-0.6754167
3.0,2.6568055,0.34319448
6.003333,3.7783198,2.2250133
2.1537254,3.4809475,-1.3272221
2.04,3.4959207,-1.4559207
1.9583334,3.5047512,-1.5464178
2.9641666,3.4469967,-0.48283005
2.7408335,3.5319657,-0.7911322
2.4766667,3.0827136,-0.6060469
2.2716668,3.310782,-1.0391152
3.0,3.2992444,-0.2992444
7.070833,3.962916,3.1079173
2.667,3.8283467,-1.1613467
4.1975,3.8075333,0.38996696
3.5608335,3.7993312,-0.23849773
2.7533336,3.5496025,-0.79626894
3.3841667,3.7140775,-0.32991076
4.0,3.7044182,0.29558182
4.8875003,4.016128,0.8713722
2.6851785,3.7572489,-1.0720704
1.9475,3.7060215,-1.7585216
4.08,3.596227,0.483773
3.7254546,3.5619078,0.1635468
2.7508333,3.7388918,-0.98805857
2.3216667,3.3496735,-1.0280068
2.7366667,3.570588,-0.83392143
3.0,3.5587075,-0.5587075
5.9824996,4.277673,1.7048268
3.0411863,4.0646048,-1.0234184
1.7299999,4.02893,-2.2989302
3.02,3.933858,-0.91385794
3.2254548,3.9387286,-0.71327376
3.3641667,3.9822676,-0.6181009
2.9108334,3.680463,-0.7696297
6.21,3.8588223,2.3511777
3.7963638,3.9882503,-0.19188643
5.0,3.9734662,1.0265338
6.192,4.4635353,1.7284646
7.955,4.4544945,3.5005054
3.4463334,4.465711,-1.0193777
3.8975,4.364015,-0.46651506
4.54,4.1574373,0.38256264
3.6266665,4.2702065,-0.6435399
3.19,4.2067857,-1.0167856
4.5666666,4.2661023,0.3005643
4.733333,4.3109336,0.42239952
6.0,4.2925034,1.7074966
7.038,4.825186,2.2128143
9.150001,4.804509,4.3454914
7.29,4.696886,2.593114
3.4795,4.845863,-1.3663628
4.1549997,4.813538,-0.65853834
3.929,4.781838,-0.85283804
4.205,4.620473,-0.41547298
3.7816668,4.7301145,-0.9484477
3.681111,4.6596317,-0.97852063
3.38,4.6589003,-1.2789001
5.26,4.854107,0.40589333
4.76,4.6747584,0.085241795
6.0,4.8513045,1.1486955
8.053333,4.64952,3.4038134
4.206981,4.529333,-0.32235193
4.665,4.485942,0.17905807
4.65,4.4928303,0.15716982
4.744167,4.3250895,0.4190774
27.361816,4.450142,22.911674
3.6525,4.183794,-0.5312941
7.0533333,4.345979,2.707354
5.725,4.350466,1.3745341
6.0,4.4202113,1.5797887
5.7366667,4.0901403,1.6465263
2.6269493,4.1358967,-1.5089474
2.5900002,4.10623,-1.5162296
10.9800005,4.0579553,6.922045
3.0609093,4.0094075,-0.94849825
3.2316666,4.0537376,-0.8220711
2.7616668,3.7814598,-1.019793
5.4108334,4.064665,1.3461685
4.0,4.054759,-0.054759026
5.258333,3.5826993,1.6756339
2.2335,3.6247966,-1.3912966
4.909167,3.4831753,1.4259915
2.8441668,3.4225693,-0.5784025
2.3416667,3.1327977,-0.791131
7.93,3.3244576,4.605542
4.6554546,3.4363425,1.2191122
4.0,3.4196017,0.5803983
5.5616665,3.5963848,1.9652817
2.4042857,3.5727825,-1.1684968
2.1950002,3.512584,-1.3175838
2.3999999,3.550377,-1.150377
4.2875,3.284961,1.0025389
3.775,3.4832816,0.29171848
2.5583334,3.005854,-0.4475205
5.6400003,3.32116,2.3188403
5.528333,3.4450328,2.0833004
6.0,3.4445872,2.5554128
5.0358334,2.8562152,2.1796181
2.2642593,2.87528,-0.61102057
1.5,2.7801502,-1.2801502
2.6859999,2.9164221,-0.23042226
2.4783332,2.721915,-0.24358177
3.0375001,2.5863829,0.45111728
