Target,Output,Diff
1.08,1.94824,-0.86824
1.19,1.8536971,-0.663697
1.5999999,2.4273462,-0.8273463
0.684,3.0533373,-2.3693373
0.93,2.0620198,-1.1320198
2.0,2.076237,-0.07623696
2.0,1.8326225,0.16737747
1.285,3.6928656,-2.4078655
1.71,3.3065379,-1.5965378
1.954,3.4064271,-1.4524271
1.61,3.3468156,-1.7368156
2.5066667,3.2226868,-0.7160201
0.9462069,3.8143845,-2.8681774
1.5866667,3.2322595,-1.6455928
1.1383333,3.1752377,-2.0369043
3.0,2.9744034,0.025596619
2.0,3.594224,-1.594224
1.6858333,3.260172,-1.5743386
2.0741668,3.0562334,-0.98206663
3.1525002,3.3448231,-0.19232297
0.56,3.873787,-3.313787
1.2138983,3.9219708,-2.7080727
2.4341667,3.2864614,-0.8522947
1.4366667,3.2969193,-1.8602526
5.0,3.1468751,1.8531249
2.0,3.1960063,-1.1960063
4.3527193,3.589888,0.7628312
3.2207825,3.1799796,0.040802956
4.867063,3.2809746,1.5860884
3.472544,3.9075062,-0.43496227
2.01,3.454168,-1.4441681
1.991111,3.5124493,-1.5213382
2.635,3.2986164,-0.6636164
4.235833,3.3502698,0.8855634
1.2977778,3.520447,-2.2226691
1.6582353,3.5758452,-1.9176099
3.2141666,3.2467725,-0.032605886
1.8066667,3.3045218,-1.4978551
7.0,3.200365,3.799635
2.0,3.4338331,-1.4338331
3.776,3.0332618,0.74273825
2.968421,2.927568,0.040853024
4.777973,3.0076747,1.7702985
3.7391665,3.516481,0.22268558
1.8158333,2.928359,-1.1125257
1.69,2.9038844,-1.2138844
2.458,2.8903422,-0.4323423
2.75,2.962139,-0.21213889
3.5583332,2.9514952,0.606838
1.0166667,3.349098,-2.3324313
1.5096492,3.3860455,-1.8763963
2.6241665,2.8253152,-0.20114875
1.4203391,2.8984776,-1.4781384
5.0,2.79666,2.20334
2.0,2.824931,-0.8249309
1.5966667,3.8116047,-2.2149382
2.12,3.6622021,-1.5422022
2.225,3.6001306,-1.3751307
1.58,3.6852932,-2.1052933
3.5225,3.618052,-0.09555197
1.3612499,4.064231,-2.702981
1.2836001,4.1304107,-2.8468106
2.8069232,3.60206,-0.7951369
5.0,3.4097533,1.5902467
2.0,3.7495146,-1.7495146
2.05,3.4551084,-1.4051085
2.2541666,3.3746219,-1.1204553
3.6558332,3.5267172,0.12911606
1.6310345,4.0103693,-2.379335
2.9533334,3.29893,-0.34559655
5.0,3.2958393,1.7041607
2.0,3.334448,-1.3344481
2.1866667,3.204316,-1.0176492
2.8224998,3.0841446,-0.26164484
3.8125,3.151611,0.6608889
1.6221311,3.7898736,-2.1677425
3.3341668,3.1319022,0.20226455
8.0,3.0198264,4.9801736
3.0,3.0950606,-0.09506059
2.3591666,3.924417,-1.5652504
3.11,3.658303,-0.5483031
3.82,3.6108117,0.20918822
1.7,4.1545725,-2.4545724
3.1608334,3.7699418,-0.60910845
6.0,3.5192208,2.4807792
5.0,3.8162808,1.1837192
3.4225,5.2454257,-1.8229258
2.9325,4.820313,-1.8878131
4.2483335,4.392314,-0.1439805
1.9643333,4.7598724,-2.7955391
3.5808334,4.806531,-1.2256975
6.0,4.087157,1.9128432
2.0,5.124174,-3.124174
2.118182,4.002672,-1.8844903
2.499091,3.7461317,-1.2470407
2.06,3.944399,-1.8843992
3.009091,3.6041343,-0.5950434
1.580678,4.12096,-2.5402822
2.5066667,3.6908078,-1.1841412
4.0,3.3923862,0.6076138
2.0,3.9023237,-1.9023237
3.44,3.9395623,-0.49956226
3.3481817,3.8028955,-0.45471382
1.6668333,4.1735716,-2.5067382
3.5525,3.6524487,-0.099948645
6.0,3.4509344,2.5490656
2.0,3.8059795,-1.8059795
3.4,5.2414894,-1.8414893
3.382857,4.9386554,-1.5557983
3.2624998,5.2082443,-1.9457445
1.9416666,4.958743,-3.0170765
2.9651852,4.970572,-2.0053868
4.3083334,4.9984703,-0.6901369
7.0,4.204032,2.795968
2.0,5.4764075,-3.4764075
3.6750002,4.312039,-0.6370387
2.6061666,4.6418366,-2.03567
4.181667,4.671311,-0.48964405
9.0,3.921386,5.078614
9.0,4.616973,4.383027
4.0245457,3.997314,0.027231693
5.51,4.176423,1.3335772
2.42,4.8300285,-2.4100285
3.7233927,4.824461,-1.1010683
3.7681818,4.155924,-0.38774204
9.0,3.9464326,5.0535674
11.0,4.1646376,6.8353624
2.8799999,3.438139,-0.5581391
3.75,3.5073752,0.24262476
2.1148334,4.3423104,-2.227477
2.8141665,3.7240524,-0.9098859
6.0,3.409667,2.590333
11.0,3.4971418,7.502858
2.7883334,3.3371413,-0.54880786
2.04,4.5980067,-2.5580068
1.8611865,4.4118137,-2.5506272
2.5741668,3.6333325,-1.0591657
5.0,3.1651583,1.8348417
9.0,3.3878074,5.6121926
