Target,Output,Diff
0.94916666,2.5779722,-1.6288055
1.0071429,2.8007622,-1.7936193
0.928,2.4158878,-1.4878879
0.6966667,3.2860036,-2.5893369
7.701667,2.7819967,4.91967
0.97999996,2.6751328,-1.6951327
2.0,3.2359352,-1.2359352
1.8425,2.8033016,-0.9608016
1.4112499,2.7738535,-1.3626037
1.2766666,2.9352224,-1.6585557
1.551111,2.746727,-1.195616
1.05,3.262342,-2.212342
9.52,2.986466,6.5335345
9.213333,3.1111946,6.1021385
8.14,2.751205,5.3887954
1.0928571,2.7832842,-1.6904271
1.654,2.880193,-1.226193
2.0,3.2335167,-1.2335167
1.465,3.9157174,-2.4507174
2.071,3.845285,-1.7742848
2.2325,3.9928484,-1.7603483
1.89,3.872569,-1.9825691
2.0666666,3.6894023,-1.6227357
1.5108334,4.1350327,-2.6241994
9.6975,3.964696,5.7328043
9.67125,3.602738,6.0685124
1.8050001,3.6030092,-1.7980092
1.65625,3.6006498,-1.9443998
2.0,4.1178203,-2.1178203
3.920766,3.6481893,0.2725768
1.9778448,3.4400496,-1.4622048
2.77,3.352797,-0.58279705
2.5662498,3.612494,-1.0462441
2.9699998,3.8362865,-0.86628675
3.067143,3.824758,-0.7576151
2.952,3.8417542,-0.8897543
2.08,4.12029,-2.0402899
10.416666,3.6660182,6.7506475
10.52,4.19319,6.3268104
2.2966666,3.8897438,-1.5930772
2.0,4.083498,-2.083498
3.84861,3.5037148,0.34489512
1.7155001,3.4946756,-1.7791755
2.1491666,3.1757793,-1.0266128
2.3483334,3.380589,-1.0322556
1.5825,3.707762,-2.125262
10.330833,3.8529563,6.477877
2.035,3.5246062,-1.4896061
2.0,3.3302524,-1.3302524
2.3274999,2.8967757,-0.56927586
2.362857,2.7841911,-0.42133403
2.0255556,3.0627582,-1.0372026
1.9300001,2.8291976,-0.8991976
1.5691667,3.4030857,-1.833919
9.89,3.1842728,6.7057276
9.976364,2.9885106,6.9878535
1.9300001,3.07694,-1.14694
2.008,3.2031379,-1.195138
2.0,3.3824596,-1.3824596
2.3033333,3.5440075,-1.2406743
2.93,3.5099168,-0.5799167
2.7,3.1733613,-0.47336125
2.6116667,3.3132837,-0.701617
2.0416667,3.8957012,-1.8540344
9.75,3.3484113,6.4015884
2.3541667,3.3623648,-1.008198
2.0,3.827228,-1.8272281
2.8908334,3.3058577,-0.41502428
2.996,3.4157374,-0.41973734
3.5714288,3.1172724,0.4541564
2.0333333,3.7844179,-1.7510846
10.298,3.3169487,6.9810514
1.785,3.1498945,-1.3648945
2.02,3.448557,-1.4285569
2.0,3.7556288,-1.7556288
2.81,3.9953234,-1.1853235
3.2150002,3.99166,-0.77665997
2.98,3.8253117,-0.84531164
2.34,4.252897,-1.9128969
9.36,4.078729,5.2812705
10.137273,3.9107933,6.2264795
2.3877778,3.7034214,-1.3156435
2.2166667,4.013959,-1.7972922
4.0,4.2262683,-0.22626829
3.6658335,4.4347005,-0.768867
4.0808334,4.0336585,0.04717493
2.8458333,4.4180984,-1.5722651
10.282499,4.3854766,5.8970227
10.87625,4.0949197,6.7813306
2.4609091,3.8715134,-1.4106042
4.0,4.3742905,-0.37429047
2.8240001,3.7190218,-0.8950217
2.8642857,3.6020045,-0.7377188
2.33,3.733307,-1.403307
1.6400001,3.6599464,-2.0199463
3.4380002,3.4221587,0.015841484
2.3475,4.0579624,-1.7104623
9.78,3.8395386,5.940461
9.331819,3.554988,5.7768307
2.0833333,3.6508589,-1.5675256
3.0,4.0178566,-1.0178566
4.7200003,3.4739006,1.2460997
3.5009093,3.5553253,-0.05441594
5.251667,3.8329723,1.4186947
3.75,3.5572796,0.19272041
4.81,3.4182289,1.3917711
3.003333,3.9417286,-0.9383955
9.819166,3.4155369,6.4036293
2.2766666,3.4779952,-1.2013285
2.522222,3.6404254,-1.1182034
5.0,3.887558,1.112442
4.3,3.5617135,0.73828673
4.605,3.7093937,0.8956063
5.1800003,4.14622,1.0337801
3.6325,4.224653,-0.59215283
10.356667,3.831631,6.525036
10.193334,3.4477038,6.74563
2.6,3.4299386,-0.82993865
3.462222,3.440175,0.022047043
6.0,4.1707854,1.8292146
5.0099998,5.0957036,-0.08570385
5.1025,5.0251155,0.07738447
5.56,5.4247274,0.1352725
4.67,5.191882,-0.52188206
3.1216667,5.223935,-2.1022685
9.24,5.3766613,3.8633385
9.49,4.7331533,4.7568464
2.6916668,4.571599,-1.8799322
10.0,5.1693463,4.8306537
4.67,6.0713434,-1.4013433
4.7127275,5.8880086,-1.175281
3.5049999,5.7878733,-2.2828734
